----------------------------------------------------------------------
Schedule D - District/Port List (by name)[ProducedAPRIL25]
----------------------------------------------------------------------
Name                                                  | Code    | District/Port
JUNEAU, AK                                            | 3101    | Port
KAHULUI, HI                                           | 3203    | Port
KALAMA, WA                                            | 2909    | Port
KALISPELL AIRPORT                                     | 3324    | Port
KANSAS CITY, MO                                       | 4501    | Port
KENMORE AIR HARBOR, WA                                | 3018    | Port
KETCHIKAN, AK                                         | 3102    | Port
KEY WEST, FL                                          | 5202    | Port
KNOXVILLE, TN                                         | 2016    | Port
KONA, HI                                              | 3206    | Port
LAKE CHARLES, LA                                      | 2017    | Port
LANCASTER, MN                                         | 3430    | Port
LAREDO, TX                                            | 23      | District
LAREDO, TX                                            | 2304    | Port
LAS VEGAS, NV                                         | 2722    | Port
LAURIER, WA                                           | 3016    | Port
LAWRENCE, MA                                          | 0416    | Port
LEESBURG REGIONAL AIRP, LEESBURG, FL                  | 1887    | Port
L.G. HANSCOM FIELD, MA                                | 0481    | Port
LIMESTONE, ME                                         | 0118    | Port
LITTLE ROCK, AR                                       | 2003    | Port
LOGAN AIRPORT, MA                                     | 0417    | Port
LONG BEACH, CA                                        | 2709    | Port
LONGVIEW, WA                                          | 2905    | Port
LORAIN, OH                                            | 4121    | Port
LOS ANGELES, CA                                       | 27      | District
LOS ANGELES, CA                                       | 2704    | Port
LOS ANGELES INTERNATIONAL AIRPORT, CA                 | 2720    | Port
LOUISVILLE, KY                                        | 4115    | Port
LOW-VALUED IMPORTS AND EXPORTS                        | 70      | District
LOW-VALUE                                             | 7000    | Port
LUBBOCK, TX                                           | 5503    | Port
LUKEVILLE, AZ                                         | 2602    | Port
LYNDEN, WA                                            | 3023    | Port
MADAWASKA, ME                                         | 0109    | Port
MAIDA, ND                                             | 3416    | Port
MAIL SHIPMENTS (EXPORT ONLY)                          | 80      | District
MANCHESTER USER FEE AIRPORT, NH                       | 0182    | Port
MANITOWOC, WI                                         | 3706    | Port
MARINETTE, WI                                         | 3702    | Port
MARQUETTE, MI                                         | 3809    | Port
MARTINEZ,CA                                           | 2820    | Port
MASSENA, NY                                           | 0704    | Port
MAYAGUEZ, PR                                          | 4907    | Port
MEADOWS FIELD AIRPORT, CA                             | 2786    | Port
MELBOURNE REGIONAL AIRPORT, FL                        | 1885    | Port
MELLVILLE, RI                                         | 0503    | Port
MEMPHIS, TN                                           | 2006    | Port
METALINE FALLS                                        | 3025    | Port
MIAMI INTL AIRPORT                                    | 5206    | Port
MIAMI, FL                                             | 52      | District
MIAMI, FL                                             | 5201    | Port
MIDAMERICAN AIRPORT, IL                               | 4581    | Port
MIDLAND INTL AIRPORT, MIDLAND, TX                     | 5582    | Port
MILWAUKEE, WI                                         | 37      | District
MILWAUKEE, WI                                         | 3701    | Port
MINNEAPOLIS, MN                                       | 35      | District
MINNEAPOLIS-ST. PAUL, MN                              | 3501    | Port
MINOT AIRPORT, ND                                     | 3434    | Port
MOBILE, AL                                            | 19      | District
MOBILE, AL                                            | 1901    | Port
MONTEREY, CA                                          | 2805    | Port
MORGAN CITY, LA                                       | 2001    | Port
MORGAN, MT                                            | 3319    | Port
MORRISTOWN AIRPORT, NJ                                | 1081    | Port
MORRO BAY, CA                                         | 2719    | Port
MUSKEGON, MI                                          | 3815    | Port
MYRTLE BEACH INTL AIRPORT, SC                         | 1681    | Port
NACO, AZ                                              | 2603    | Port
NAPLES MUNICIPAL USER FEE AIRP, FL                    | 1880    | Port
NASHVILLE, TN                                         | 2007    | Port
NAWILIWILI-PORT ALLEN,HI                              | 3204    | Port
NECHE, ND                                             | 3404    | Port
NEW BEDFORD, MA                                       | 0405    | Port
NEW HAVEN,CT                                          | 0412    | Port
NEW LONDON, CT                                        | 0413    | Port
NEW ORLEANS, LA                                       | 20      | District
NEW ORLEANS, LA                                       | 2002    | Port
NEW RIVER VALLEY AIRPORT, VA                          | 1412    | Port
NEW YORK CITY, NY                                     | 10      | District
NEW YORK, NY                                          | 1001    | Port
NEWARK, NJ                                            | 1003    | Port
NEWARK FEDEX ECCF, NJ                                 | 1068    | Port
NEWPORT, OR                                           | 2902    | Port
NEWPORT, RI                                           | 0501    | Port
NIGHTHAWK, WA                                         | 3011    | Port
NOGALES, AZ                                           | 26      | District
NOGALES, AZ                                           | 2604    | Port
NOONAN, ND                                            | 3420    | Port
NORFOLK, VA                                           | 14      | District
NORFOLK/MOBILE/CHARLESTON                             | 59      | District
NORFOLK/MOBILE/CHARLESTON                             | 5901    | Port
