port_code,port_name,country,cty_code,region
15298,"Baffin Island, NFLD",Canada,1220,North America
16101,St. Pierre,St. Pierre & Miquelon,1610,North America
20100,Abryos,Mexico,2010,Central America
20101,Acapulco,Mexico,2010,Central America
20104,Cerros Island,Mexico,2010,Central America
20105,La Paz,Mexico,2010,Central America
20106,Topolobampo,Mexico,2010,Central America
20107,Lazaro Cardenas,Mexico,2010,Central America
20108,Ensenada,Mexico,2010,Central America
20113,Guaymas,Mexico,2010,Central America
20120,Manzanillo,Mexico,2010,Central America
20122,Mazatlan,Mexico,2010,Central America
20125,Rosarito,Mexico,2010,Central America
20128,Islas Coronados,Mexico,2010,Central America
20129,Salina Cruz,Mexico,2010,Central America
20135,San Marcos Island,Mexico,2010,Central America
20141,Santa Rosalia,Mexico,2010,Central America
20142,El Sauzal,Mexico,2010,Central America
20143,Puerto Vallarta,Mexico,2010,Central America
20144,Cabo San Lucas,Mexico,2010,Central America
20152,Cayo Arcas,Mexico,2010,Central America
20153,Alvaro Obregon,Mexico,2010,Central America
20154,Dos Bocas,Mexico,2010,Central America
20155,Campeche,Mexico,2010,Central America
20157,Carmen,Mexico,2010,Central America
20161,Calica,Mexico,2010,Central America
20162,Cancun,Mexico,2010,Central America
20171,Coatzacoalcos,Mexico,2010,Central America
20173,Cozumel Island,Mexico,2010,Central America
20174,Chetumal,Mexico,2010,Central America
20179,Isla Mujeres,Mexico,2010,Central America
20181,Minatitlan,Mexico,2010,Central America
20184,Pajaritos,Mexico,2010,Central America
20185,Progreso,Mexico,2010,Central America
20192,Puerto Madero,Mexico,2010,Central America
20193,Altamira,Mexico,2010,Central America
20194,Puerto de Morales; Puerto Morales,Mexico,2010,Central America
20195,Champoton,Mexico,2010,Central America
20196,Alvarado,Mexico,2010,Central America
20197,Tuxpan,Mexico,2010,Central America
20199,Veracruz,Mexico,2010,Central America
20500,Livingston,Guatemala,2050,Central America
20505,Puerto Matias de Galves,Guatemala,2050,Central America
20506,Puerto Quetzal,Guatemala,2050,Central America
20513,Puerto Barrios,Guatemala,2050,Central America
20577,San Jose,Guatemala,2050,Central America
20599,Champerico,Guatemala,2050,Central America
20800,Other Belize Ports,Belize,2080,Central America
20801,Belize,Belize,2080,Central America
20802,Big Creek,Belize,2080,Central America
20803,Dangriga,Belize,2080,Central America
21101,Acajutla,El Salvador,2110,Central America
21137,Cutuco,El Salvador,2110,Central America
21199,La Libertad,El Salvador,2110,Central America
21500,Isla Utila,Honduras,2150,Central America
21502,Trujillo,Honduras,2150,Central America
21515,La Ceiba,Honduras,2150,Central America
21519,Limon,Honduras,2150,Central America
21527,Puerto Castilla,Honduras,2150,Central America
21531,Puerto Cortes,Honduras,2150,Central America
21535,Guanaja,Honduras,2150,Central America
21543,Tela,Honduras,2150,Central America
21551,Amapala,Honduras,2150,Central America
21552,Puerto Henecan,Honduras,2150,Central America
21599,All Other Honduras West Coast Region Ports,Honduras,2150,Central America
21900,Cabo Gracias a Dios,Nicaragua,2190,Central America
21901,Bluefields,Nicaragua,2190,Central America
21902,Arlen Siu,Nicaragua,2190,Central America
21925,Puerto Cabezas,Nicaragua,2190,Central America
21951,Corinto,Nicaragua,2190,Central America
21999,Puerto Masachapa,Nicaragua,2190,Central America
22300,Puerto Vargas,Costa Rica,2230,Central America
22301,Colorado Bar,Costa Rica,2230,Central America
22313,Limon; Puerto Limon,Costa Rica,2230,Central America
22315,Moin; Bahia de Moin,Costa Rica,2230,Central America
22361,Caldera,Costa Rica,2230,Central America
22363,Golfito; Puerto Golfito,Costa Rica,2230,Central America
22381,Quepos; Punta Quepos,Costa Rica,2230,Central America
22386,Punta Morales,Costa Rica,2230,Central America
22387,Puntarenas,Costa Rica,2230,Central America
22389,Aguadulce,Costa Rica,2230,Central America
22399,Coco Islands; Islas de Coco,Costa Rica,2230,Central America
22500,Bocas del Toro,Panama,2250,Central America
22501,Almirante,Panama,2250,Central America
22517,Coco Solo,Panama,2250,Central America
22518,Cristobal,Panama,2250,Central America
22519,Colon,Panama,2250,Central America
22520,Chiriqui Grande Terminal,Panama,2250,Central America
22525,Parita; Golfo de Parita,Panama,2250,Central America
22555,Portobelo; Puerto Bello,Panama,2250,Central America
22556,Manzanillo; Puerto Manzanillo,Panama,2250,Central America
22565,Las Minas Bay; Bahia de Las Minas,Panama,2250,Central America
22575,Balboa,Panama,2250,Central America
22577,La Palma,Panama,2250,Central America
22579,Panama Canal - Pacific,Panama,2250,Central America
22581,Aguadulce,Panama,2250,Central America
22582,Pedregal,Panama,2250,Central America
22587,Armuelles; Puerto Armuelles,Panama,2250,Central America
22599,Archipel. De Las Perlas,Panama,2250,Central America
23201,Hamilton,Bermuda,2320,Caribbean
23251,St. Georges; Saint Georges,Bermuda,2320,Caribbean
23299,"Freeport, Ireland Island",Bermuda,2320,Caribbean
23600,Browns Cays,Bahamas,2360,Caribbean
23619,Eleuthera Island,Bahamas,2360,Caribbean
23620,Cat Cays,Bahamas,2360,Caribbean
23621,Exuma,Bahamas,2360,Caribbean
23622,Spanish Wells,Bahamas,2360,Caribbean
23623,Governors Harbour,Bahamas,2360,Caribbean
23624,Half Moon Cay,Bahamas,2360,Caribbean
23630,Arawak Cay,Bahamas,2360,Caribbean
23635,Clarence Town,Bahamas,2360,Caribbean
23636,Duncan Town,Bahamas,2360,Caribbean
23640,Abaco-Snake Cay,Bahamas,2360,Caribbean
23641,Chub Cay,Bahamas,2360,Caribbean
23642,Great Stirrup Cay,Bahamas,2360,Caribbean
23643,Great Harbour Cay,Bahamas,2360,Caribbean
23644,Treasure Cay,Bahamas,2360,Caribbean
23645,"Freeport, Grand Bahama Island",Bahamas,2360,Caribbean
23646,Port Lucaya,Bahamas,2360,Caribbean
23647,West End,Bahamas,2360,Caribbean
23650,Port Nelson,Bahamas,2360,Caribbean
23653,Great Inagua,Bahamas,2360,Caribbean
23660,Cat Island,Bahamas,2360,Caribbean
23661,"Nassau, New Providence Island",Bahamas,2360,Caribbean
23665,Ocean Cay,Bahamas,2360,Caribbean
23667,Walker Cay,Bahamas,2360,Caribbean
23672,Andros Island; Port Andros,Bahamas,2360,Caribbean
23675,Clifton Pier; Clifton Point,Bahamas,2360,Caribbean
23683,Bimini Island,Bahamas,2360,Caribbean
23684,Castaway Cay,Bahamas,2360,Caribbean
23900,Antilla,Cuba,2390,Caribbean
23931,Daiquiri Bay,Cuba,2390,Caribbean
23937,Isabela del Sagua,Cuba,2390,Caribbean
23941,Boqueron,Cuba,2390,Caribbean
23944,Havana; La Habana,Cuba,2390,Caribbean
23961,Lengua de Pajaro,Cuba,2390,Caribbean
23979,Guayabal,Cuba,2390,Caribbean
23983,Santa Cruz del Sur,Cuba,2390,Caribbean
24100,Annotto Bay,Jamaica,2410,Caribbean
24128,Kingston,Jamaica,2410,Caribbean
24145,Montego Bay,Jamaica,2410,Caribbean
24155,Ocho Rios,Jamaica,2410,Caribbean
24163,Esquivel; Port Esquivel,Jamaica,2410,Caribbean
24165,Alligator Pond,Jamaica,2410,Caribbean
24167,Port Rhoades,Jamaica,2410,Caribbean
24175,Rocky Point,Jamaica,2410,Caribbean
24185,Savanna La Mar,Jamaica,2410,Caribbean
24300,All Other Caicos Islands,Turks and Caicos Islands,2430,Caribbean
24310,Cockburn harbor,Turks and Caicos Islands,2430,Caribbean
24311,Providenciales,Turks and Caicos Islands,2430,Caribbean
24320,Grand Turks,Turks and Caicos Islands,2430,Caribbean
24395,Salt Cay,Turks and Caicos Islands,2430,Caribbean
24399,All Turks Islands Ports,Turks and Caicos Islands,2430,Caribbean
24400,All Other Cayman Island Ports,Cayman Islands,2440,Caribbean
24410,Georgetown,Cayman Islands,2440,Caribbean
24415,Cayman Brac,Cayman Islands,2440,Caribbean
24500,Anse du Clerc,Haiti,2450,Caribbean
24509,Aux Cayes,Haiti,2450,Caribbean
24513,Cap Haitien,Haiti,2450,Caribbean
24514,Fort Liberte,Haiti,2450,Caribbean
