port_code,port_name,district_code,district_name,port_consolidated,port_coast,port_region,port_type
1822,"FORT MYERS AIRPORT, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,airport
1880,"NAPLES MUNICIPAL USER FEE AIRP, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,airport
1883,"SARASOTA BRADENTON ARPT, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,airport
1884,"DAYTONA BEACH INT'L ARPT, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,airport
1885,"MELBOURNE REGIONAL AIRPORT, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,airport
1887,"LEESBURG REGIONAL AIRP, LEESBURG, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,airport
1888,"ORLANDO EXECUTIVE AIRPORT, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,airport
1889,"ST. AUGUSTINE AIRPORT, FL",18,"TAMPA, FL",Tampa,Gulf,Gulf East,airport
1901,"MOBILE, AL",19,"MOBILE, AL",Mobile,Gulf,Gulf East,seaport
1902,"GULFPORT, MS",19,"MOBILE, AL",Gulfport,Gulf,Gulf East,seaport
1903,"PASCAGOULA, MS",19,"MOBILE, AL",Pascagoula,Gulf,Gulf East,seaport
1904,"BIRMINGHAM, AL",19,"MOBILE, AL",Mobile,Gulf,Gulf East,inland
1910,"HUNTSVILLE, AL",19,"MOBILE, AL",Mobile,Gulf,Gulf East,inland
2001,"MORGAN CITY, LA",20,"NEW ORLEANS, LA",Mississippi River,Gulf,Gulf East,seaport
2002,"NEW ORLEANS, LA",20,"NEW ORLEANS, LA",New Orleans,Gulf,Gulf East,seaport
2003,"LITTLE ROCK, AR",20,"NEW ORLEANS, LA",Mississippi River,Inland,Mississippi River,inland
2004,"BATON ROUGE, LA",20,"NEW ORLEANS, LA",Mississippi River,Gulf,Gulf East,seaport
2006,"MEMPHIS, TN",20,"NEW ORLEANS, LA",Mississippi River,Inland,Mississippi River,inland
2007,"NASHVILLE, TN",20,"NEW ORLEANS, LA",Mississippi River,Inland,Mississippi River,inland
2008,"CHATTANOOGA, TN",20,"NEW ORLEANS, LA",Mississippi River,Inland,Mississippi River,inland
2010,"GRAMERCY, LA",20,"NEW ORLEANS, LA",Mississippi River,Gulf,Gulf East,seaport
2011,"GREENVILLE, MS",20,"NEW ORLEANS, LA",Mississippi River,Gulf,Gulf East,inland
2015,"VICKSBURG, MS",20,"NEW ORLEANS, LA",Mississippi River,Inland,Mississippi River,inland
2016,"KNOXVILLE, TN",20,"NEW ORLEANS, LA",Mississippi River,Inland,Mississippi River,inland
