shipper_norm,year,production_st,production_mt_equiv,vessel_calls_n,calls_with_tons,raw_exports_mt,annual_corr_factor,corrected_exports_mt,export_fraction_pct
EGYPT,2022,0.0,0.0,4.0,2.0,90000.0,1.9700504815059154,177305.0,
EGYPT,2023,0.0,0.0,4.0,2.0,128842.0,2.1102734257739506,271892.0,
EGYPT,2024,0.0,0.0,4.0,2.0,137105.0,2.0641557547316407,283006.0,
EMERALD COAL,2024,0.0,0.0,3.0,1.0,34955.0,2.0641557547316407,72153.0,
ENGLAND,2022,0.0,0.0,1.0,1.0,6000.0,1.9700504815059154,11820.0,
FLAME,2024,0.0,0.0,5.0,3.0,111594.0,2.0641557547316407,230347.0,
FLAME S.A,2025,0.0,0.0,2.0,2.0,116439.0,1.9886938064949435,231562.0,
FLAME S.A.,2024,0.0,0.0,3.0,2.0,76427.0,2.0641557547316407,157757.0,
FLAME S.A.,2025,0.0,0.0,3.0,2.0,50000.0,1.9886938064949435,99435.0,
GERMANY,2022,0.0,0.0,3.0,1.0,33351.0,1.9700504815059154,65703.0,
GERMANY,2023,0.0,0.0,4.0,2.0,125257.0,2.1102734257739506,264327.0,
GLENCORE,2024,0.0,0.0,2.0,2.0,135009.0,2.0641557547316407,278680.0,
GLENCORE,2025,0.0,0.0,5.0,4.0,257117.0,1.9886938064949435,511327.0,
GLENCORE AG,2024,0.0,0.0,6.0,3.0,221520.0,2.0641557547316407,457252.0,
GREECE,2023,0.0,0.0,1.0,0.0,0.0,2.1102734257739506,0.0,
GUATEMALA,2021,0.0,0.0,5.0,3.0,55717.0,2.232689430705837,124399.0,
GUATEMALA,2022,0.0,0.0,10.0,5.0,136492.0,1.9700504815059154,268896.0,
GUATEMALA,2024,0.0,0.0,1.0,1.0,49500.0,2.0641557547316407,102176.0,
HM TRADING,2024,0.0,0.0,1.0,0.0,0.0,2.0641557547316407,0.0,
HONDURAS,2021,0.0,0.0,3.0,1.0,50000.0,2.232689430705837,111634.0,
HONDURAS,2022,0.0,0.0,2.0,1.0,53050.0,1.9700504815059154,104511.0,
HONDURAS,2023,0.0,0.0,3.0,1.0,45000.0,2.1102734257739506,94962.0,
HONDURAS,2024,0.0,0.0,1.0,0.0,0.0,2.0641557547316407,0.0,
IMI,2024,0.0,0.0,10.0,4.0,206610.0,2.0641557547316407,426475.0,
IMI,2025,0.0,0.0,9.0,9.0,465617.0,1.9886938064949435,925970.0,
INDIA,2023,0.0,0.0,6.0,3.0,182870.0,2.1102734257739506,385906.0,
INDIA,2024,0.0,0.0,2.0,1.0,107000.0,2.0641557547316407,220865.0,
INDONESIA,2023,0.0,0.0,2.0,1.0,28700.0,2.1102734257739506,60565.0,
INTEGRITY,2021,0.0,0.0,25.0,13.0,419247.0,2.232689430705837,936048.0,
INTEGRITY,2022,0.0,0.0,67.0,35.0,1158550.0,1.9700504815059154,2282402.0,
INTEGRITY,2023,0.0,0.0,57.0,30.0,985972.0,2.1102734257739506,2080671.0,
INTEGRITY,2024,0.0,0.0,65.0,35.0,942109.0,2.0641557547316407,1944660.0,
INTEGRITY,2025,0.0,0.0,27.0,24.0,679450.0,1.9886938064949435,1351218.0,
INTEGRITY,2026,0.0,0.0,3.0,3.0,63250.0,1.8476221035807328,116862.0,
ION CARBON,2023,0.0,0.0,3.0,2.0,159800.0,2.1102734257739506,337222.0,
ION CARBON,2024,0.0,0.0,10.0,6.0,484479.0,2.0641557547316407,1000040.0,
ION CARBON,2025,0.0,0.0,1.0,1.0,78200.0,1.9886938064949435,155516.0,
JAMAICA,2021,0.0,0.0,1.0,0.0,0.0,2.232689430705837,0.0,
JAMAICA,2022,0.0,0.0,2.0,2.0,65069.0,1.9700504815059154,128189.0,
JAPAN,2021,0.0,0.0,1.0,0.0,0.0,2.232689430705837,0.0,
JAPAN,2022,0.0,0.0,1.0,0.0,0.0,1.9700504815059154,0.0,
JAVELIN,2021,0.0,0.0,37.0,20.0,1222312.0,2.232689430705837,2729043.0,
JAVELIN,2022,0.0,0.0,93.0,44.0,3075800.0,1.9700504815059154,6059481.0,
JAVELIN,2023,0.0,0.0,119.0,57.0,4425115.0,2.1102734257739506,9338203.0,
JAVELIN,2024,0.0,0.0,244.0,128.0,9465125.0,2.0641557547316407,19537492.0,
JAVELIN,2025,0.0,0.0,148.0,137.0,8899905.0,1.9886938064949435,17699186.0,
JAVELIN,2026,0.0,0.0,12.0,12.0,873870.0,1.8476221035807328,1614582.0,
JERA,2021,0.0,0.0,20.0,10.0,602595.0,2.232689430705837,1345407.0,
JERA,2022,0.0,0.0,48.0,24.0,1637888.0,1.9700504815059154,3226722.0,
JERA,2023,0.0,0.0,64.0,33.0,2088875.0,2.1102734257739506,4408097.0,
JERA,2024,0.0,0.0,46.0,22.0,1581930.0,2.0641557547316407,3265350.0,
JERA,2025,0.0,0.0,21.0,19.0,1399972.0,1.9886938064949435,2784116.0,
JERA,2026,0.0,0.0,1.0,1.0,69650.0,1.8476221035807328,128687.0,
