CTRY_NAME,FORPORT_NAME,FORPORT_CD
Canada,"Clarke City, QUE",13476
Canada,"Clarke Harbour, NS",13451
Canada,"Clarke's Harbour, NS",13451
Canada,"Clarkson, ONT",1527
Canada,"Coley's Point, NFLD",15226
Canada,"Come-by-Chance, NFLD",15229
Canada,"Comeau Bay, QUE",13481
Canada,"Conception Bay, NFLD",15220
Canada,"Contrecoeur, QUE",13482
Canada,"Corner Brook, NFLD",15231
Canada,"Cornwall, ONT",1784
Canada,"Corunna, ONT",5517
Canada,"Courtright, ONT",5515
Canada,"Cowichan Bay, BC",12231
Canada,"Crofton, BC",12234
Canada,"Dalhousie, NB",13484
Canada,"Dartmouth, NS",13485
Canada,"Deadmans Harbour, NB",13400
Canada,"Deer Island, NB",13475
Canada,Delta BC,12496
Canada,"Depot Harbor, ONT",6695
Canada,"Digby, NS",13420
Canada,"Dipper Harbor, NB",13400
Canada,"Donnacona, QUE",13493
Canada,"Duncan Bay, BC",12246
Canada,"Dundas Island, BC",12200
Canada,"Dunnville, ONT",2645
Canada,"Earls Island, NLFD",15223
Canada,"Elk Falls, BC",12237
Canada,"Englee Harbor, NFLD",15207
Canada,"Esquimalt, BC",12200
Canada,"Fisher Harbour, ONT",8528
Canada,"Fort Frances, ONT",9000
Canada,"Fort Williams, ONT",9662
Canada,"Fortune, NL",15208
Canada,"Fox River, QUE",13400
Canada,"Fraser River, BC",12261
Canada,"Frobisher Bay, NL",15298
Canada,"Ganges, BC",12494
Canada,"Gaspe, QUE",13819
Canada,"Goderich, ONT",6533
Canada,"Gold River, BC",12275
Canada,"Gold River, NS",13452
Canada,"Gooch Island, BC",12493
Canada,"Grand Bank, NFLD",15209
Canada,"Grand Harbor, NB",13829
Canada,"Grand Manan Island, NB",13829
Canada,"Greenville, ONT",9000
Canada,"Gros Cacouna, QUE",13820
Canada,"Groscacouna, QUE",13820
Canada,"Halifax, NS",13841
Canada,"Hamilton, ONT",1520
Canada,"Hantsport, NS",13848
Canada,"Harbour Breton, NFLD",15210
Canada,"Harbour Grace, NFLD",15232
Canada,"Harmac, BC",12407
Canada,"Hartley Bay, BC",12200
Canada,"Hartley, BC",12200
Canada,"Heron Bay, ONT",9669
Canada,"Hibernia, NFLD",15201
Canada,"Holsteinborg, BC",12200
Canada,"Holyrood, NFLD",15245
Canada,"Howie Sound, BC",12208
Canada,"Jackson Bay, BC",12200
Canada,"Jervis Inlet, BC",12217
Canada,"Kingston, ONT",1670
Canada,"Kingsville, ONT",3506
Canada,"Kitimat, BC",12287
Canada,"Ladysmith, BC",12209
Canada,"Lakeview, ONT",1530
Canada,"Lambton, ONT",5515
Canada,"Lampton, ONT",5515
Canada,"Leamington, ONT",3508
Canada,"Levis, QUE",1832
Canada,"Little Current, ONT",6748
Canada,"Little Narrows, CBI",13884
Canada,"Liverpool, NS",13887
Canada,"Long Harbor, NFLD",15255
Canada,"Long Pond Manuels, NFLD",15260
Canada,"Louisburg, NS",13437
Canada,"Lunenburg, NS",13851
Canada,"Maces Bay, NB",13400
Canada,"Maple Bay, BC",12200
Canada,"Marathon, ONT",9601
Canada,"Marystown, NFLD",15233
Canada,"Masset, BC",12210
Canada,"Matane, QUE",14070
Canada,"McBride Bay, BC",12200
Canada,Meldrum Bay,6766
Canada,"Meteghan, NS",13870
Canada,"Michipicoten Harbor, ONT",9555
Canada,"Michipicoten, ONT.",9555
Canada,"Mission, BC",12490
Canada,"Mississauga, ONT",1530
Canada,"Mitchell Bay, ONT",8530
Canada,"Mont Louis, QUE",14021
Canada,"Montague, PEI",14472
Canada,"Montreal, QUE",1822
Canada,"Morrisburg,ONT",1696
Canada,"Mulgrave, NS",13436
Canada,"Nanaimo, BC",12406
Canada,"Nanticoke, ONT",6645
Canada,"New Westminster, BC",12408
Canada,"Newcastle, NB",14037
Canada,"Nootka, BC",12200
Canada,"North Sydney, NS",13853
Canada,"Oak Bay, BC",12498
Canada,"Oakville, ONT",6770
Canada,"Ojibway, ONT",3510
Canada,"Oshawa, ONT",9670
Canada,"Ottawa, ONT",7238
Canada,"Otter Island, ONT",9554
Canada,"Owen Sound, ONT",6768
Canada,"Parry Sound, ONT",6697
Canada,"Pelee Island, ONT",3507
Canada,"Picton, ONT",1652
Canada,"Pictou, NS",13854
Canada,"Point Tupper, CBI",14065
Canada,"Pointe Au Pic, QUE",14066
Canada,"Pointe Noire, QUE",13476
Canada,"Pointe aux Trembles, ONT",1823
Canada,"Porcher Island, BC",12200
Canada,"Port Alberni, BC",12202
Canada,"Port Alfred, QUE",14069
Canada,"Port Alice, BC",12422
Canada,"Port Arthur, ONT",9662
Canada,"Port Cartier, QUE",14073
Canada,"Port Clements, BC",12204
Canada,"Port Colborne, ONT",2641
Canada,"Port Credit, ONT",1530
Canada,"Port Edward, BC",12420
Canada,"Port Hardy, BC",12211
Canada,"Port Hawkesbury, NS",13849
Canada,"Port Johnstown, ONT",1700
Canada,"Port Maitland, NS",13430
Canada,"Port Mann, BC",12426
Canada,"Port Mellon, BC",12428
Canada,"Port Moody, BC",12430
Canada,"Port Simpson, BC",12444
Canada,"Port Stanley, ONT",2566
Canada,"Port Weller, ONT",9663
Canada,"Port Whitby, ONT",9671
Canada,"Port of Digby, NS",13420
Canada,"Powell River, BC",12441
Canada,"Prescott, ONT",1700
Canada,"Prince Rupert, BC",12442
Canada,"Quebec, QUE",14094
Canada,"Ramea, NFLD",15211
Canada,"Red Head, NB",13400
Canada,"Richardson Island, NB",13454
Canada,"Richardson, NB",13454
Canada,"Richmond, BC",12497
Canada,"Rimouski, QUE",14068
Canada,"Robert's Bank, BC",12489
Canada,"Rockport, ONT",2643
Canada,"Rocky Point, ONT",1697
Canada,"Rupert Inlet, QUE",14095
Canada,"Saint Andrews, NB",14426
Canada,"Saint Anthony, NL",15212
Canada,"Saint Catharines, ONT",1690
Canada,"Saint George, NB",14427
Canada,"Saint Jean, QUE",14429
Canada,"Saint John's, NFLD",15282
Canada,"Saint John, NB",14428
Canada,"Saint Johns, QUE",14429
Canada,"Saint Lawrence, NFLD",15283
Canada,"Saint Stephen, NB",14438
Canada,"San Mateo, BC",12200
Canada,"Sandy Cove, NS",13400
Canada,"Sarnia, ONT",5520
Canada,"Sault Ste. Marie, ONT",8525
Canada,"Scudder, ONT",3507
Canada,"Seal Cove, NB",13829
Canada,"Sechelt, BC",12219
Canada,"Seelys Basin, NB",13829
Canada,"Seelys Cove, NB",13829
Canada,"Seelys Head, NB",13829
Canada,"Sept Iles, QUE",14444
Canada,"Serpent Harbor, ONT",6767
Canada,"Seven Islands, QUE",14444
Canada,"Sheet Harbour, NS",13888
Canada,"Shelburne, NS",13455
Canada,"Sidney, BC",12468
Canada,"Sillery, QUE",14092
Canada,"Slate Islands, ONT",9000
Canada,"Sombra, ONT",5512
Canada,"Soo, ONT",8525
Canada,"Sooke, BC",12205
Canada,"Sorel, QUE",14466
