Port_Code,Port_Name
413.0,"New London, CT"
4133,"Santa Barbara, CA"
4142,"Catalina Island Ports, CA"
4146,"El Segundo, CA"
4150,"PORT HUENEME, CA"
4151,"Oxnard Harbor District, CA"
4200,"Suisun Bay Channel, CA"
4240,"Sacramento-Yolo Port District, CA"
4260,"San Joaquin River, CA"
4270,"Stockton Port District, CA"
4335,"San Francisco Port Commission, CA"
4340,"Redwood City, CA"
4344,"Port of Oakland, CA"
4345,"Oakland Harbor, CA"
4351,"Richmond, CA"
4355,"San Pablo Bay and Mare Island Strait, CA"
4360,"Carquinez Strait, CA"
4374,"Humboldt Bay Harbor, Recreation and Conservation District, CA"
4400,"Hilo, Hawai'i, HI"
4410,"Kahului, Maui, HI"
4412,"Kailua-Kona, Hawai'i, HI"
4421,"Honolulu, O'ahu, HI"
4431,"Nawiliwili, Kaua'i, HI"
4445,"Kewalo Basin, Honolulu, Oahu, HI"
4450,"Pearl Harbor, O'ahu, HI"
4458,"Kalaeloa Barbers Point, O'ahu, HI"
4468,"Lahaina, Maui, HI"
4471,"Maalaea, Maui, HI"
4490,"Santa Barbara Island, CA"
4560,"St Matthew Island, AK"
4590,"Shelikof Strait, AK"
4601.0,"Newark, NJ"
4602.0,"Perth Amboy, NJ"
4610,"Clatsop County Port District, OR"
4622,"Port of Longview, WA"
4626,"Port of Kalama, WA"
4629,"Port of Columbia County, OR"
4636,"Port of Vancouver USA, WA"
4646,"Port of Portland, OR"
4659,"Oregon International Port of Coos Bay, OR"
4681.0,Port Not on File
4707,"Clallam County Port District, WA"
4709,"Grays Harbor Port District, WA"
4713,"Port of Olympia, WA"
4715,"Puget Sound Spine, WA"
4719,"Tacoma, WA"
4721,"Bremeton, WA, Channel to"
4722,"Port of Seattle, WA"
4727,"Port of Everett, WA"
4730,"Port of Anacortes, WA"
4736,"Bellingham, WA"
4743,"Rosario Strait, WA - Georgia Strait Spine, WA"
4754,"Puget Sound Area, WA, Other Ports"
4768,"Behm Canal, AK"
477.0,Port Not on File
4770,"Tongass Narrows, AK"
4793,"Icy Strait, AK"
4795,"Wrangell, AK"
4796,"Sitka Ports and Harbor Commission, AK"
4797,"Hoonah, AK"
4799,"Cordova, AK"
4808,"Sitka Harbor, AK"
4816,"Valdez, AK"
4820,"Port of Alaska, AK"
4823,"Juneau, AK"
4824,"Whittier, AK"
4826,"Petersburg, AK"
4827,"Ketchikan, AK"
4830,"Homer, AK"
4831,"Nikiski, AK"
4845,"Cook Inlet, AK"
4857,"Skagway, AK"
4859,"Prince William Sound, AK"
4865,"Prince of Wales Is. West Side, AK"
4869,"Craig, AK"
4878,"Metlakatla, AK"
4886,"Klawock Harbor, AK"
4889,"Togiak Bay, AK"
4893,"Kotzebue Sound, AK"
4900.0,Port Not on File
4901.0,"Aguadilla, PR"
4903,"Klawock, AK"
4904.0,"Fajardo, PR"
4905,"False Pass, AK"
4905.0,"Guanica, PR"
4906,"Kodiak, AK"
4906.0,"Humacao, PR"
4907,"Seward, AK"
4907.0,"Mayaguez, PR"
4908.0,"Ponce, PR"
4909.0,"San Juan, PR"
4912.0,"Guayanilla, PR"
4913.0,Port Not on File
4916,"Nome, AK"
4932,"Afognak Bay, AK"
4935,"Kodiak Island, AK"
4939,"Unalaska Island, AK"
4940,"Chignik Bay, AK"
4943,"Baralof Bay, AK"
4946,"Akutan Island, AK"
4951,"Adak Island, AK"
4952,"St. Paul Island, Pribilof Island, AK"
4954,"Amchitka Island, AK"
4957,"Mitrofania Bay, AK"
4966,"Nunavak Island, AK"
4971,"St. Lawrence Island, AK"
4972,"Teller, AK"
4981,"Point Hope, AK"
4986,"Wainwright, AK"
4988,"Utqiagvik (Barrow), AK"
4995,"Prudhoe Bay, AK"
4998,"Kivalina, AK"
5003,"Old Harbor, AK"
5004,"Yakutat, AK"
5005,"Haines Borough, AK"
501.0,"Newport, RI"
502.0,"Providence, RI"
505,"Albany Port District, NY"
5101.0,"Charlotte Amalie, VI"
5102.0,"Cruz Bay, VI"
5104.0,"Christiansted, VI"
5105.0,"Frederiksted, VI"
5107.0,Port Not on File
5201.0,"Miami, FL"
5202.0,"Key West, FL"
5203.0,"Port Everglades, FL"
5204.0,"West Palm Beach, FL"
5205.0,"Fort Pierce, FL"
5206.0,Port Not on File
5207.0,Port Not on File
5208.0,Port Not on File
5209.0,Port Not on File
5210.0,Port Not on File
5221.0,Port Not on File
5250,"Delaware River, Philadelphia, PA to the Sea"
5252.0,Port Not on File
5255.0,Port Not on File
5299.0,Port Not on File
5300.0,Port Not on File
5301.0,"Houston, TX"
5303,"Hudson River, NY, Mouth of Spuyten Duyvil Creek (Harlem River) to  Waterford, NY"
5306.0,"Texas City, TX"
5307.0,Port Not on File
5309.0,Port Not on File
5310.0,"Galveston, TX"
5311.0,"Freeport, TX"
5312.0,"Corpus Christi, TX"
5313.0,"Port Lavaca, TX"
5359.0,Port Not on File
5401.0,"Washington, DC"
544,"Newport, RI"
550,"South Jersey Port Corporation, NJ"
552,"Philadelphia Regional Port Authority, PA"
555,"Wilmington, DE"
5562,"James River below Richmond, VA"
5680,"Atlantic Intracoastal Waterway between Norfolk, VA, and the St. Johns River, FL (Wilmington District)"
5685,"Atlantic Intracoastal Waterway between Norfolk, VA, and the St. Johns River, FL (Charleston District)"
5700,"Port of Virginia, VA"
5760.0,Port Not on File
603.0,Port Not on File
604.0,Port Not on File
6242,"Gulf Intracoastal Waterway, Mississippi River, LA, to Sabine River, TX"
648,"York River, VA"
700,"Baltimore, MD"
704.0,"Massena, NY"
727,"Annapolis, MD"
737,"Richmond, VA"
738,"Hopewell, VA"
7401.0,Port Not on File
7404.0,Port Not on File
759,"Morehead City, NC"
766,"Wilmington, NC"
77,"Searsport, ME"
775,"Port of Charleston, SC"
776,"Port of Savannah, GA"
78,"Portsmouth, NH"
783,"Port of Brunswick, GA"
786,"Ocean Highway and Port Authority, FL"
8007.0,Port Not on File
8013.0,Port Not on File
8063.0,Port Not on File
8069.0,Port Not on File
8089.0,Port Not on File
8092.0,Port Not on File
8099.0,Port Not on File
8115.0,Port Not on File
8133.0,Port Not on File
8147.0,Port Not on File
8181.0,Port Not on File
8213.0,Port Not on File
8217.0,Port Not on File
8223.0,Port Not on File
8230.0,Port Not on File
8232.0,Port Not on File
8250.0,Port Not on File
8251.0,Port Not on File
8256.0,Port Not on File
8257.0,Port Not on File
8262.0,Port Not on File
8269.0,Port Not on File
8273.0,Port Not on File
8275.0,Port Not on File
8276.0,Port Not on File
8283.0,Port Not on File
8284.0,Port Not on File
844,"Northeast (Cape Fear) River, NC"
847,"Wilmington Harbor, NC"
8604,"Columbia and Lower Willamette Rivers below Vancouver, WA and Portland, OR"
90,"Port of Boston, MA"
901.0,"Buffalo, NY"
903.0,"Rochester, NY"
904.0,"Oswego, NY"
91,"Gloucester, MA"
95,"Falmouth, MA"
96,"Bucksport Harbor, ME"
97,"Eastport Port Authority, ME"
98,"New Bedford Port Authority, MA"
99,"Portland, ME"
9930.0,Port Not on File
