Code,Sked_D_E,Port_Consolidated,Port_Coast,Port_Region, Action ,Note,Sked_D,Action
1809,"Orlando-Sanford Airport, Sanford, Florida",Land Ports,Land  Ports,Land Ports,1,,"ORLANDO-SANFORD AIRPORT, FL",
1811,"Sarasota/Bradenton, Manatee, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1814,"St. Petersburg, Florida",Land Ports,Land  Ports,Land Ports,1,,"ST. PETERSBURG, FL",
1816,"Port Canaveral, Florida",North Florida,East,South Atlantic,1,,"PORT CANAVERAL, FL",
1818,"Panama City, Florida",Mobile,Gulf,Gulf East,1,,"PANAMA CITY, FL",
1819,"Pensacola, Florida",Mobile,Gulf,Gulf East,1,,"PENSACOLA, FL",
0182,"Manchester User Fee Airport, New Hampshire",Land Ports,Land  Ports,Land Ports,1,,"MANCHESTER USER FEE AIRPORT, NH",
1820,"Port St. Joe, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1821,"Port Manatee, Florida",Tampa,Gulf,Gulf East,1,,"PORT MANATEE, FL",
1822,"Fort Myers, Florida",Land Ports,Land  Ports,Land Ports,1,,"FORT MYERS AIRPORT, FL",
1851,"Tampa Border Patrol, Tampa, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1852,"Jacksonville Border Patrol, Jacksonville, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1853,"Orlando Border Patrol, Orlando, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1880,"Naples Municipal Airport, Naples, Florida",Land Ports,Land  Ports,Land Ports,1,,"NAPLES MUNICIPAL USER FEE AIRP, FL",
1881,"Lakeland Linder Airport, Lakeland, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1883,"Sarasota-Bradenton Airport, Sarasota, Florida",Land Ports,Land  Ports,Land Ports,1,,"SARASOTA BRADENTON ARPT, FL",
1884,"Daytona Beach International Airport, Daytona Beach, Florida",Land Ports,Land  Ports,Land Ports,1,,"DAYTONA BEACH INT'L ARPT, FL",
1885,"Melbourne Regional Airport, Melbourne, Florida",Land Ports,Land  Ports,Land Ports,1,,"MELBOURNE REGIONAL AIRPORT, FL",
1887,"Leesburg Regional Airport, Leesburg, Florida",Land Ports,Land  Ports,Land Ports,1,,"LEESBURG REGIONAL AIRP, LEESBURG, FL",
1888,"Orlando Executive Airport, Orlando, Florida",Land Ports,Land  Ports,Land Ports,1,,"ORLANDO EXECUTIVE AIRPORT, FL",
1889,"St. Augustine Airport (User Fee Airport), St Augustine, Florida",Land Ports,Land  Ports,Land Ports,1,,"ST. AUGUSTINE AIRPORT, FL",
1901,"Mobile, Alabama",Mobile,Gulf,Gulf East,1,,"MOBILE, AL",
1902,"Gulfport, Mississippi",Mobile,Gulf,Gulf East,1,,"GULFPORT, MS",
1903,"Pascagoula, Mississippi",Mobile,Gulf,Gulf East,1,,"PASCAGOULA, MS",
1904,"Birmingham, Alabama",Land Ports,Land  Ports,Land Ports,1,,"BIRMINGHAM, AL",
1905,"Apalachicola, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1906,"Carrabelle, Florida",Land Ports,Land  Ports,Land Ports,1,,,
1910,"Huntsville, Alabama",Land Ports,Land  Ports,Land Ports,1,,"HUNTSVILLE, AL",
1951,"Gulfport Border Patrol, Gulfport, Mississippi",Land Ports,Land  Ports,Land Ports,1,,,
1952,"Mobile Border Patrol, Mobile, Alabama",Land Ports,Land  Ports,Land Ports,1,,,
2001,"Morgan City, Louisiana",New Orleans,Gulf,Gulf East,1,,"MORGAN CITY, LA",
2002,"New Orleans, Louisiana",New Orleans,Gulf,Gulf East,1,,"NEW ORLEANS, LA",
2003,"Little Rock, Arkansas",Land Ports,Land  Ports,Land Ports,1,,"LITTLE ROCK, AR",
2004,"Baton Rouge, Louisiana",New Orleans,Gulf,Gulf East,1,,"BATON ROUGE, LA",
2006,"Memphis, Tennessee",Land Ports,Land  Ports,Land Ports,1,,"MEMPHIS, TN",
2007,"Nashville, Tennessee",Land Ports,Land  Ports,Land Ports,1,,"NASHVILLE, TN",
2008,"Chattanooga, Tennessee",Land Ports,Land  Ports,Land Ports,1,,"CHATTANOOGA, TN",
0201,"St. Albans, Vermont",Land Ports,Land  Ports,Land Ports,1,,"ST. ALBANS, VT",
2010,"Gramercy, Louisiana",New Orleans,Gulf,Gulf East,1,,"GRAMERCY, LA",
2011,"Greenville, Mississippi",Land Ports,Land  Ports,Land Ports,1,,"GREENVILLE, MS",
2015,"Vicksburg, Mississippi (Include Jackson Municipal Airport)",Land Ports,Land  Ports,Land Ports,1,,"VICKSBURG, MS",
2016,"Knoxville, Tennessee",Land Ports,Land  Ports,Land Ports,1,,"KNOXVILLE, TN",
2017,"Lake Charles, Louisiana",Lake Charles,Gulf,Gulf East,1,,"LAKE CHARLES, LA",
2018,"Shreveport-Bossier City, Louisiana",Land Ports,Land  Ports,Land Ports,1,,"SHREVEPORT/BOSSIER CITY, LA",
2021,"Houma, Louisiana",Land Ports,Land  Ports,Land Ports,1,,,
2023,"Lafayette, Louisiana",Land Ports,Land  Ports,Land Ports,1,,,
2024,"Ft. Smith, Arkansas",Land Ports,Land  Ports,Land Ports,1,,,
2025,"Fayetteville, Arkansas",Land Ports,Land  Ports,Land Ports,1,,,
2026,"Texarkana, Arkansas",Land Ports,Land  Ports,Land Ports,1,,,
2027,"Tri-City Airport, Blountville, Tennessee",Land Ports,Land  Ports,Land Ports,1,,"TRI-CITIES AIRPORT, TN",
0203,"Richford, Vermont",Land Ports,Land  Ports,Land Ports,1,,"RICHFORD, VT",
2050,"Border Patrol Sector HQ, New Orleans, Louisiana",Land Ports,Land  Ports,Land Ports,1,,,
2051,"Lake Charles Border Patrol, Lake Charles, Louisiana",Land Ports,Land  Ports,Land Ports,1,,,
2052,"Baton Rouge Border Patrol, Baton Rouge, Louisiana",Land Ports,Land  Ports,Land Ports,1,,,
2053,"New Orleans Border Patrol, New Orleans, Louisiana",Land Ports,Land  Ports,Land Ports,1,,,
2054,"Little Rock Border Patrol, Little Rock, Arkansas",Land Ports,Land  Ports,Land Ports,1,,,
0206,"Beecher Falls, Vermont",Land Ports,Land  Ports,Land Ports,1,,"BEECHER FALLS, VT",
0207,"Burlington, Vermont",Land Ports,Land  Ports,Land Ports,1,,"BURLINGTON, VT",
2081,"Jackson Airport, Jackson, Mississippi",Land Ports,Land  Ports,Land Ports,1,,,
2084,"Rogers Municipal Airport, Rogers, Arkansas",Land Ports,Land  Ports,Land Ports,1,,,
0209,"Derby Line, Vermont",Land Ports,Land  Ports,Land Ports,1,,"DERBY LINE, VT",
2095,"Federal Express Courier, Memphis, Tennessee",Land Ports,Land  Ports,Land Ports,1,,"FEDEX, MEMPHIS, TN",
0210,"Newport, Vermont",Land Ports,Land  Ports,Land Ports,1,,,
2101,"Port Arthur, Texas",Sabine River,Gulf,North Texas,1,,"PORT ARTHUR, TX",
2102,"Sabine, Texas",Sabine River,Gulf,North Texas,1,,"SABINE, TX",
2103,"Orange, Texas",Sabine River,Gulf,North Texas,1,,"ORANGE, TX",
2104,"Beaumont, Texas",Sabine River,Gulf,North Texas,1,,"BEAUMONT, TX",
0211,"Norton, Vermont",Land Ports,Land  Ports,Land Ports,1,,"NORTON, VT",
0212,"Highgate Springs/Alburg, Vermont",Land Ports,Land  Ports,Land Ports,1,,"HIGHGATE SPRINGS/ALBURG, VT",
0214,"Swanton, Vermont",Land Ports,Land  Ports,Land Ports,1,,,
2150,"Border Patrol Sector HQ, Yuma, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2151,"Blythe California Border Patrol, Blythe, California",Land Ports,Land  Ports,Land Ports,1,,,
2152,"Yuma Arizona Border Patrol, Yuma, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
2153,"Wellton Arizona Border Patrol, Wellton, Arizona",Land Ports,Land  Ports,Land Ports,1,,,
0221,"Northeast Region, Boston, Massachusetts",Land Ports,Land  Ports,Land Ports,1,,,
2250,"Border Patrol Sector HQ, Laredo, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2251,"Laredo Del Mar Border Patrol, Laredo, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2252,"Cotulla Texas Border Patrol, Cotulla, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2253,"Hebbronville Texas Border Patrol, Hebbronville, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2254,"Laredo South Border Patrol, Laredo, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2255,"Dallas Border Patrol, Euless, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2256,"Freer Texas Border Patrol, Freer, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2257,"San Antonio Border Patrol, San Antonio, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2258,"Zapata Texas Border Patrol, Zapata, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2259,"Laredo West Station, Laredo, Texas",Land Ports,Land  Ports,Land Ports,1,,,
2301,"Brownsville, Texas",South Texas,Gulf,South Texas,1,,"BROWNSVILLE, TX",
2302,"Del Rio, Texas",Land Ports,Land  Ports,Land Ports,1,,"DEL RIO, TX",
2303,"Eagle Pass, Texas",Land Ports,Land  Ports,Land Ports,1,,"EAGLE PASS, TX",
