USACE_PORT,USACE_PORT_NAME,Census_Code,Census_Sked_D_E,Port_Consolidated,Port_Coast,Port_Region,Match_Type
2417,"Galveston, TX",5310,"Galveston, Texas",Houston,Gulf,North Texas,City+State Exact
2420,"Brownsville Navigation District of Cameron County, TX",2301,"Brownsville, Texas",South Texas,Gulf,South Texas,City Fuzzy+State
2422,"Port Isabel-San Benito Navigation District of Cameron County Texas, TX",2101,"Port Arthur, Texas",Sabine River,Gulf,North Texas,City Fuzzy+State
2427,"Calhoun Port Authority, TX",,,Sabine River,Gulf,North Texas,State Fallback
2428,"Texas City, TX",5306,"Texas City, Texas",Houston,Gulf,North Texas,City+State Exact
2436,"Corpus Christi, TX",5312,"Corpus Christi, Texas",South Texas,Gulf,South Texas,City+State Exact
2437,"Manatee County Port Authority, FL",,,South Florida,East,South Atlantic,State Fallback
2440,"Port of Gulfport, MS",1902,"Gulfport, Mississippi",Mobile,Gulf,Gulf East,City+State Exact
2441,"Panama City Port Authority, FL",1818,"Panama City, Florida",Mobile,Gulf,Gulf East,City+State Exact
2443,"Virgin Islands Port Authority - St. Croix, VI",5104,"Christiansted, St. Croix, Virgin Islands","Alaska, US Islands","Alaska, US Islands","Alaska, US Islands",Manual Override
2502,"St. Petersburg, FL",1814,"St. Petersburg, Florida",Land Ports,Land  Ports,Land Ports,City+State Exact
3007,"Ogdensburg Bridge and Port Authority, NY",0701,"Ogdensburg, New York",Toledo-Cleveland,Great Lakes,Great Lakes,City Fuzzy+State
3105,"Rochester, NY",0903,"Rochester, New York",Land Ports,Land  Ports,Land Ports,City+State Exact
3111,"Oswego, NY",0904,"Oswego, New York",Toledo-Cleveland,Great Lakes,Great Lakes,City+State Exact
3198,"Monroe, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3201,"Lake Erie, Including Upper Niagara River",,,,,,NO MATCH
3204,"Toledo-Lucas County Port Authority, OH",4105,"Toledo, Ohio",Toledo-Cleveland,Great Lakes,Great Lakes,Manual Override
3212,"Marblehead, OH",,,Toledo-Cleveland,Great Lakes,Great Lakes,State Fallback
3213,"Sandusky, OH",,,Toledo-Cleveland,Great Lakes,Great Lakes,State Fallback
3217,"Cleveland-Cuyahoga County, OH",4101,"Cleveland, Ohio",Toledo-Cleveland,Great Lakes,Great Lakes,Manual Override
3219,"Ashtabula Port Authority, OH",4122,"Ashtabula/Conneaut, Ohio",Toledo-Cleveland,Great Lakes,Great Lakes,City Fuzzy+State
3221,"Erie, PA",4106,"Erie, Pennsylvania",Toledo-Cleveland,Great Lakes,Great Lakes,City+State Exact
3226,"Buffalo Harbor, NY",0901,"Buffalo-Niagara Falls, New York",Land Ports,Land  Ports,Land Ports,City Fuzzy+State
3227,"Conneaut, OH",,,Toledo-Cleveland,Great Lakes,Great Lakes,State Fallback
3230,"Buffalo, NY",0901,"Buffalo-Niagara Falls, New York",Land Ports,Land  Ports,Land Ports,City Fuzzy+State
3235,"Lorain Port Authority, OH",,,Toledo-Cleveland,Great Lakes,Great Lakes,State Fallback
3321,"Detroit/Wayne County Port Authority, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3500,"Marine City, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3501,"St. Clair River, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3512,"Marysville, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3516,"Port Huron, MI",3802,"Port Huron, Michigan",Land Ports,Land  Ports,Land Ports,City+State Exact
3603,"Saginaw River, MI",3804,"Saginaw/Bay City, Michigan",Land Ports,Land  Ports,Land Ports,City Fuzzy+State
3617,"Alpena, MI",3843,"Alpena, Michigan",Land Ports,Land  Ports,Land Ports,City+State Exact
3619,"Presque Isle Township, MI",3842,"Presque Island, Michigan",Land Ports,Land  Ports,Land Ports,City Fuzzy+State
3623,"St. Ignace, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3627,"Clark Township, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3629,"Cheboygan, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3635,"Rogers City, MI",3818,"Rogers City, Michigan",Land Ports,Land  Ports,Land Ports,City+State Exact
3700,"Muskegon, MI",3815,"Muskegon, Michigan",Detroit-Milwaukee,Great Lakes,Great Lakes,City+State Exact
3701,Lake Michigan,,,,,,NO MATCH
3721,"Holland, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3726,"Grand Haven, MI",3816,"Grand Haven, Michigan",Land Ports,Land  Ports,Land Ports,City+State Exact
3728,"Grand Haven Harbor and Grand River, MI",3816,"Grand Haven, Michigan",Land Ports,Land  Ports,Land Ports,City+State Exact
3733,"St. Joseph Harbor, MI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3743,"Northern Indiana Maritime District, IN",3905,"Gary, Indiana",Detroit-Milwaukee,Great Lakes,Great Lakes,Manual Override
3749,"Illinois International Port District, IL",3901,"Chicago, Illinois, including O’Hare International Airport",Detroit-Milwaukee,Great Lakes,Great Lakes,Manual Override
3756,"Port Milwaukee, WI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
3767,"Sturgeon Bay, WI",,,Detroit-Milwaukee,Great Lakes,Great Lakes,State Fallback
