commodity,class_code,class_name,grade_code,grade_name,records,avg_test_weight,min_test_weight,max_test_weight,median_test_weight,avg_sf_ft3_per_lt,median_sf_ft3_per_lt,avg_sf_untrimmed_ft3_per_lt,median_sf_untrimmed_ft3_per_lt
CORN,YC,Yellow Corn,5 O/B,US No. 5 or Better,45,56.57,53.05,58.93,56.73,49.32,49.15,52.27,52.1
CORN,YC,Yellow Corn,SGO/B,Sample Grade or Better,31,56.53,51.28,59.36,56.92,49.38,48.98,52.34,51.92
CORN,YC,Yellow Corn,5,US No. 5,30,56.66,48.35,58.8,57.27,49.26,48.69,52.21,51.61
CORN,YC,Yellow Corn,SG O/B,Sample Grade or Better,14,55.15,50.83,58.96,55.02,50.69,50.7,53.73,53.74
CORN,YC,Yellow Corn,NG,No Grade,8,57.75,57.32,58.61,57.59,48.29,48.42,51.18,51.33
FLAXSEED,FLAX,Flaxseed,1,US No. 1,2,50.07,50.05,50.09,50.07,55.69,55.69,59.03,59.03
FLAXSEED,,FLAXSEED,1,US No. 1,55,50.15,49.04,51.3,50.11,55.6,55.64,58.94,58.98
FLAXSEED,,FLAXSEED,SGO/B,Sample Grade or Better,3,49.73,49.52,50.04,49.62,56.07,56.19,59.43,59.56
MIXED,,MIXED,XGR,Mixed Grain,18,60.14,59.25,61.53,60.14,46.37,46.36,49.15,49.14
OATS,,OATS,2 O/B,US No. 2 or Better,6,43.02,39.82,44.8,43.37,64.9,64.29,68.79,68.14
OATS,,OATS,OT,OT,2,43.37,43.37,43.37,43.37,64.29,64.29,68.14,68.14
OATS,,OATS,3 O/B,US No. 3 or Better,1,43.63,43.63,43.63,43.63,63.9,63.9,67.74,67.74
OATS,,OATS,1,US No. 1,1,43.1,43.1,43.1,43.1,64.69,64.69,68.57,68.57
RYE,,RYE,2 O/B,US No. 2 or Better,20,58.52,57.46,59.06,58.58,47.65,47.59,50.51,50.45
RYE,,RYE,1,US No. 1,1,58.17,58.17,58.17,58.17,47.93,47.93,50.81,50.81
SORGHUM,S,Sorghum,2 O/B,US No. 2 or Better,6156,58.32,55.0,61.9,58.35,47.82,47.78,50.69,50.65
SORGHUM,S,Sorghum,3 O/B,US No. 3 or Better,48,57.5,54.99,59.2,57.68,48.51,48.34,51.42,51.24
SORGHUM,S,Sorghum,2,US No. 2,22,58.13,56.5,60.42,58.27,47.98,47.85,50.85,50.72
SORGHUM,S,Sorghum,,Ungraded,11,58.3,57.78,59.08,58.26,47.82,47.86,50.69,50.73
SORGHUM,S,Sorghum,1,US No. 1,10,58.89,57.76,59.96,59.08,47.35,47.2,50.19,50.03
SORGHUM,S,Sorghum,4 O/B,US No. 4 or Better,4,56.06,55.46,56.86,55.96,49.74,49.82,52.72,52.82
SORGHUM,S,Sorghum,3,US No. 3,2,58.89,58.68,59.09,58.89,47.35,47.35,50.19,50.19
SORGHUM,S,Sorghum,SG O/B,Sample Grade or Better,1,59.12,59.12,59.12,59.12,47.16,47.16,49.99,49.99
SORGHUM,S,Sorghum,4,US No. 4,1,55.04,55.04,55.04,55.04,50.66,50.66,53.69,53.69
SORGHUM,WHS,White Sorghum,2 O/B,US No. 2 or Better,2,59.21,58.8,59.61,59.21,47.1,47.1,49.92,49.92
SORGHUM,WHS,White Sorghum,1,US No. 1,1,58.5,58.5,58.5,58.5,47.66,47.66,50.52,50.52
SORGHUM,YS,Yellow Sorghum,2 O/B,US No. 2 or Better,3480,58.06,55.0,60.3,58.26,48.03,47.86,50.91,50.73
SORGHUM,YS,Yellow Sorghum,2,US No. 2,28,58.23,57.53,58.26,58.26,47.88,47.86,50.75,50.73
SORGHUM,YS,Yellow Sorghum,3 O/B,US No. 3 or Better,10,58.11,57.38,58.46,58.26,47.98,47.86,50.86,50.73
SORGHUM,YS,Yellow Sorghum,1,US No. 1,4,58.77,57.69,59.8,58.79,47.45,47.43,50.3,50.28
SORGHUM,YS,Yellow Sorghum,3,US No. 3,3,58.02,57.53,58.26,58.26,48.06,47.86,50.94,50.73
SORGHUM,YS,Yellow Sorghum,OT,OT,2,58.26,58.26,58.26,58.26,47.86,47.86,50.73,50.73
SOYBEANS,YSB,Yellow Soybeans,2 O/B,US No. 2 or Better,36534,55.94,5.11,59.91,56.0,49.93,49.79,52.93,52.77
SOYBEANS,YSB,Yellow Soybeans,1,US No. 1,1847,56.46,52.9,59.77,56.44,49.39,49.4,52.35,52.36
SOYBEANS,YSB,Yellow Soybeans,3 O/B,US No. 3 or Better,972,55.63,52.24,58.12,56.0,50.13,49.79,53.13,52.77
SOYBEANS,YSB,Yellow Soybeans,2,US No. 2,663,55.62,52.7,58.17,55.65,50.13,50.1,53.14,53.11
SOYBEANS,YSB,Yellow Soybeans,SG,Sample Grade,206,54.36,21.0,57.4,54.87,51.59,50.81,54.68,53.86
SOYBEANS,YSB,Yellow Soybeans,SG O/B,Sample Grade or Better,165,54.77,52.6,57.31,54.7,50.92,50.97,53.98,54.03
SOYBEANS,YSB,Yellow Soybeans,,Ungraded,132,56.03,56.0,57.01,56.0,49.77,49.79,52.74,52.77
SOYBEANS,YSB,Yellow Soybeans,4 O/B,US No. 4 or Better,70,54.8,52.05,61.9,54.84,50.9,50.84,53.96,53.89
SOYBEANS,YSB,Yellow Soybeans,3,US No. 3,54,55.23,53.6,57.9,55.18,50.49,50.53,53.52,53.56
SOYBEANS,YSB,Yellow Soybeans,NG,No Grade,54,55.99,55.4,56.0,56.0,49.8,49.79,52.78,52.77
SOYBEANS,YSB,Yellow Soybeans,OT,OT,30,56.0,56.0,56.0,56.0,49.79,49.79,52.77,52.77
SOYBEANS,YSB,Yellow Soybeans,SGO/B,Sample Grade or Better,25,50.6,43.3,57.11,50.53,55.49,55.18,58.82,58.49
SOYBEANS,YSB,Yellow Soybeans,4,US No. 4,24,54.99,52.6,56.9,55.1,50.73,50.61,53.77,53.65
SOYBEANS,,SOYBEANS,2 O/B,US No. 2 or Better,1,55.65,55.65,55.65,55.65,50.1,50.1,53.11,53.11
SUNFLOWER,,SUNFLOWER,1,US No. 1,163,28.87,25.16,31.38,29.01,96.81,96.11,102.62,101.87
