year,port,commodity,vessels,certificates,metric_tons,long_tons,wtd_avg_sf,wtd_avg_sf_untrimmed,wtd_avg_test_weight,min_sf,max_sf,sf_stddev
1985,Columbia River,SORGHUM,13,13,372513.0,366629.0,47.98,50.86,58.12,47.86,50.29,0.674
1985,Columbia River,SOYBEANS,2,3,60934.0,59972.0,49.01,51.94,56.9,48.35,49.5,0.575
1985,Columbia River,WHEAT,222,829,7627428.0,7506921.0,45.68,48.42,61.04,40.06,48.13,0.487
1985,Corpus Christi,CORN,17,17,232437.0,228764.0,48.64,51.56,57.32,48.24,48.64,0.097
1985,Corpus Christi,SORGHUM,48,71,778527.0,766225.0,47.86,50.73,58.26,47.86,47.86,0.0
1985,Corpus Christi,WHEAT,32,48,775618.0,763370.0,45.76,48.5,60.94,45.67,46.47,0.162
1985,Great Lakes,BARLEY,11,16,146717.0,144400.0,55.88,59.24,49.89,55.5,55.93,0.108
1985,Great Lakes,CORN,81,149,2087868.0,2054890.0,48.93,51.86,56.99,48.64,51.24,0.572
1985,Great Lakes,SOYBEANS,42,53,773268.0,761058.0,49.47,52.43,56.37,48.4,49.83,0.415
1985,Great Lakes,SUNFLOWER,34,70,362727.0,356997.0,98.86,104.78,28.28,94.51,113.11,4.73
1985,Great Lakes,WHEAT,105,254,1945718.0,1914986.0,45.81,48.56,60.87,44.42,47.74,0.508
1985,Houston,BARLEY,2,3,27173.0,26745.0,55.93,59.29,49.85,55.93,55.93,0.0
1985,Houston,CORN,23,26,278071.0,273678.0,48.6,51.52,57.37,48.15,48.64,0.125
1985,Houston,SORGHUM,55,63,1098276.0,1080925.0,47.86,50.73,58.26,47.86,48.56,0.088
1985,Houston,SOYBEANS,1,1,10607.0,10440.0,51.56,54.66,54.07,51.56,51.56,
1985,Houston,WHEAT,249,366,6293836.0,6194435.0,45.72,48.46,60.99,44.68,47.34,0.196
1985,Lake Charles,SORGHUM,3,4,61518.0,60546.0,47.95,50.83,58.15,47.86,48.24,0.18
1985,Lake Charles,SOYBEANS,21,25,232179.0,228514.0,50.08,53.08,55.68,49.79,51.63,0.773
1985,Lake Charles,WHEAT,55,59,1272190.0,1252092.0,45.63,48.36,61.11,44.85,47.36,0.335
1985,Mississippi River,BARLEY,2,2,6122.0,6026.0,56.12,59.49,49.68,55.93,56.9,0.686
1985,Mississippi River,CORN,661,955,25806081.0,25398512.0,48.79,51.72,57.14,47.54,53.11,0.447
1985,Mississippi River,SORGHUM,139,177,3074402.0,3025843.0,48.49,51.4,57.51,47.51,50.69,0.749
1985,Mississippi River,SOYBEANS,327,449,12297543.0,12103327.0,49.92,52.91,55.85,48.65,51.77,0.417
1985,Mississippi River,WHEAT,218,435,4035505.0,3971770.0,46.12,48.89,60.47,45.24,48.91,0.596
1985,Mobile,CORN,88,100,1289598.0,1269235.0,48.95,51.89,56.97,47.7,50.91,0.689
1985,Mobile,SORGHUM,1,1,10685.0,10516.0,49.16,52.11,56.71,49.16,49.16,
1985,Mobile,SOYBEANS,55,62,1070379.0,1053476.0,50.18,53.18,55.57,49.31,53.21,0.625
1985,Mobile,WHEAT,27,32,442325.0,435339.0,45.91,48.66,60.74,45.71,47.82,0.634
1985,Puget Sound (Seattle-Tacoma),CORN,53,69,2807799.0,2763451.0,49.25,52.2,56.63,48.64,51.46,0.894
1985,Puget Sound (Seattle-Tacoma),SORGHUM,5,5,171747.0,169035.0,48.24,51.13,57.82,47.86,49.99,0.953
1985,Puget Sound (Seattle-Tacoma),SOYBEANS,15,16,446416.0,439366.0,49.44,52.4,56.41,48.17,49.79,0.555
1985,Puget Sound (Seattle-Tacoma),WHEAT,8,26,300518.0,295768.0,45.85,48.6,60.82,45.71,46.97,0.387
1985,South Atlantic,BARLEY,3,4,101577.0,99973.0,55.93,59.29,49.85,55.93,55.93,0.0
1985,South Atlantic,CORN,146,174,5020447.0,4941152.0,48.75,51.68,57.19,47.82,50.36,0.338
1985,South Atlantic,SOYBEANS,34,45,1223373.0,1204054.0,49.75,52.73,56.05,48.7,51.2,0.463
1985,South Atlantic,WHEAT,26,30,850962.0,837522.0,45.49,48.22,61.29,44.55,46.16,0.393
1986,Beaumont,WHEAT,1,1,19999.0,19683.0,45.62,48.36,61.11,45.62,45.62,
1986,Columbia River,BARLEY,21,28,825264.0,812227.0,54.85,58.14,50.84,53.35,56.53,0.928
1986,Columbia River,CORN,53,62,2572963.0,2532327.0,50.76,53.81,54.94,49.4,53.32,0.805
1986,Columbia River,SORGHUM,9,10,280912.0,276476.0,48.84,51.77,57.11,47.43,50.34,1.02
1986,Columbia River,SOYBEANS,1,1,5775.0,5684.0,48.82,51.75,57.11,48.82,48.82,
1986,Columbia River,WHEAT,241,896,8195508.0,8066055.0,45.42,48.14,61.4,42.08,47.82,0.756
1986,Corpus Christi,CORN,5,5,147750.0,145417.0,47.97,50.85,58.12,47.73,48.3,0.24
1986,Corpus Christi,SORGHUM,21,21,450047.0,442938.0,47.81,50.67,58.33,47.14,48.85,0.496
1986,Corpus Christi,WHEAT,26,32,479487.0,471915.0,45.73,48.48,60.97,45.01,46.91,0.403
1986,Great Lakes,BARLEY,20,33,359025.0,353355.0,56.39,59.77,49.45,55.3,58.55,0.709
1986,Great Lakes,CORN,37,55,870561.0,856812.0,49.46,52.43,56.39,47.42,50.84,0.855
1986,Great Lakes,FLAXSEED,4,5,31503.0,31007.0,56.31,59.68,49.52,55.72,56.75,0.37
1986,Great Lakes,RYE,1,1,4754.0,4678.0,47.89,50.76,58.22,47.89,47.89,
1986,Great Lakes,SOYBEANS,63,84,1168735.0,1150274.0,49.45,52.41,56.39,48.07,50.46,0.515
1986,Great Lakes,SUNFLOWER,14,33,203792.0,200574.0,105.45,111.78,26.52,95.19,116.07,6.018
1986,Great Lakes,WHEAT,116,276,2251608.0,2216061.0,46.55,49.34,59.92,45.23,48.75,0.793
1986,Houston,CORN,12,13,258997.0,254906.0,48.44,51.34,57.56,48.25,49.98,0.443
1986,Houston,SORGHUM,24,31,610353.0,600714.0,48.11,51.0,57.96,46.5,49.22,0.651
1986,Houston,SOYBEANS,4,4,68263.0,67186.0,50.82,53.87,54.86,50.65,50.95,0.141
1986,Houston,WHEAT,218,338,5522593.0,5435374.0,45.96,48.71,60.68,43.43,48.0,0.714
1986,Lake Charles,SORGHUM,1,1,27801.0,27362.0,48.63,51.55,57.33,48.63,48.63,
1986,Lake Charles,SOYBEANS,15,15,282868.0,278401.0,51.19,54.26,54.49,50.49,55.66,1.274
1986,Lake Charles,WHEAT,108,125,2302294.0,2265936.0,45.7,48.44,61.02,44.64,47.99,0.533
1986,Mississippi River,BARLEY,2,2,2497.0,2458.0,56.44,59.83,49.4,56.32,56.55,0.163
1986,Mississippi River,CORN,523,705,18025173.0,17740494.0,49.23,52.18,56.65,46.62,53.62,0.815
1986,Mississippi River,OATS,1,1,1472.0,1449.0,64.69,68.57,43.1,64.69,64.69,
1986,Mississippi River,SORGHUM,113,143,2322251.0,2285573.0,49.17,52.12,56.72,47.14,50.49,0.681
1986,Mississippi River,SOYBEANS,402,571,16115513.0,15860984.0,50.29,53.31,55.45,48.26,59.32,0.788
1986,Mississippi River,WHEAT,204,384,3929756.0,3867677.0,47.13,49.96,59.17,44.82,48.96,0.776
1986,Mobile,CORN,57,63,1311432.0,1290722.0,49.43,52.39,56.42,48.11,50.83,0.677
1986,Mobile,SORGHUM,9,9,62707.0,61716.0,49.44,52.41,56.4,47.62,50.28,0.969
1986,Mobile,SOYBEANS,72,82,1597265.0,1572037.0,50.27,53.29,55.48,48.95,55.18,1.068
1986,Mobile,WHEAT,11,12,200926.0,197754.0,46.65,49.45,59.78,45.86,48.01,0.661
1986,Puget Sound (Seattle-Tacoma),BARLEY,10,10,418154.0,411547.0,55.15,58.46,50.59,52.98,56.85,1.614
1986,Puget Sound (Seattle-Tacoma),CORN,26,33,1266042.0,1246046.0,51.21,54.28,54.45,49.52,52.51,0.687
1986,Puget Sound (Seattle-Tacoma),SORGHUM,1,1,24762.0,24371.0,50.13,53.13,55.62,50.13,50.13,
1986,Puget Sound (Seattle-Tacoma),SOYBEANS,19,21,494088.0,486284.0,49.06,52.0,56.83,47.82,49.69,0.401
1986,Puget Sound (Seattle-Tacoma),SUNFLOWER,1,1,14816.0,14582.0,109.34,115.9,25.5,109.34,109.34,
1986,Puget Sound (Seattle-Tacoma),WHEAT,12,33,298819.0,294099.0,45.72,48.46,60.99,44.14,47.74,0.833
1986,South Atlantic,BARLEY,1,1,38069.0,37467.0,56.28,59.66,49.54,56.28,56.28,
1986,South Atlantic,CORN,65,76,2072790.0,2040054.0,49.53,52.5,56.31,47.36,51.28,0.845
1986,South Atlantic,SOYBEANS,38,44,1307559.0,1286905.0,50.05,53.06,55.71,48.69,52.11,0.734
1986,South Atlantic,WHEAT,22,28,581237.0,572056.0,45.85,48.6,60.83,44.59,47.5,0.887
1987,Columbia River,BARLEY,34,56,1573067.0,1548223.0,54.67,57.95,51.01,52.46,56.32,0.907
1987,Columbia River,CORN,94,126,4016725.0,3953285.0,49.48,52.45,56.36,48.0,51.79,0.794
1987,Columbia River,SORGHUM,9,12,251921.0,247941.0,47.99,50.87,58.1,47.42,48.97,0.46
1987,Columbia River,SOYBEANS,14,14,343081.0,337663.0,49.21,52.16,56.66,48.65,49.88,0.291
1987,Columbia River,WHEAT,261,841,9442729.0,9293576.0,45.1,47.81,61.83,43.37,47.68,0.58
1987,Corpus Christi,CORN,4,4,38137.0,37535.0,48.81,51.74,57.12,48.13,48.99,0.358
1987,Corpus Christi,SORGHUM,20,23,492889.0,485103.0,47.78,50.64,58.36,47.26,48.66,0.363
1987,Corpus Christi,WHEAT,24,27,357723.0,352070.0,45.72,48.46,60.99,44.77,46.53,0.487
1987,Great Lakes,BARLEY,27,44,505635.0,497648.0,57.22,60.65,48.74,55.2,59.4,1.049
1987,Great Lakes,CORN,84,123,1798789.0,1770383.0,49.77,52.76,56.03,47.21,51.16,0.774
1987,Great Lakes,RYE,1,1,5207.0,5125.0,47.21,50.04,59.06,47.21,47.21,
1987,Great Lakes,SOYBEANS,55,72,1144643.0,1126562.0,49.45,52.42,56.38,48.59,50.66,0.45
1987,Great Lakes,SUNFLOWER,10,16,125392.0,123409.0,97.43,103.28,28.66,88.85,101.38,3.94
1987,Great Lakes,WHEAT,87,157,1637848.0,1611980.0,46.99,49.8,59.35,45.33,48.41,0.581
1987,Houston,BARLEY,1,1,23878.0,23501.0,57.72,61.19,48.3,57.72,57.72,
1987,Houston,CORN,18,27,259835.0,255730.0,48.27,51.17,57.76,47.35,49.23,0.455
1987,Houston,SORGHUM,55,66,1272631.0,1252534.0,47.88,50.75,58.24,46.87,49.5,0.526
1987,Houston,SOYBEANS,1,1,4596.0,4524.0,49.35,52.31,56.5,49.35,49.35,
1987,Houston,WHEAT,306,420,9634057.0,9481894.0,46.03,48.79,60.58,43.93,48.67,0.768
1987,Lake Charles,SOYBEANS,24,25,322311.0,317224.0,50.49,53.52,55.23,49.4,51.81,0.784
1987,Lake Charles,WHEAT,100,107,2939194.0,2892769.0,45.82,48.57,60.85,44.83,47.34,0.347
1987,Mississippi River,BARLEY,1,2,63421.0,62419.0,55.68,59.03,50.07,55.48,55.88,0.283
1987,Mississippi River,CORN,647,981,28433535.0,27984466.0,48.96,51.9,56.95,46.98,52.75,0.64
1987,Mississippi River,SORGHUM,113,135,2121042.0,2087540.0,48.2,51.09,57.86,46.78,49.75,0.558
1987,Mississippi River,SOYBEANS,429,666,17232370.0,16960216.0,50.11,53.11,55.65,48.4,60.54,0.921
1987,Mississippi River,WHEAT,191,330,4637540.0,4564297.0,47.45,50.3,58.76,45.03,48.89,0.665
1987,Mobile,CORN,52,59,1067999.0,1051133.0,48.51,51.42,57.47,47.47,50.1,0.528
1987,Mobile,SORGHUM,11,13,309193.0,304310.0,47.92,50.79,58.19,47.46,48.63,0.366
1987,Mobile,SOYBEANS,51,63,1204458.0,1185435.0,49.95,52.95,55.82,48.35,51.06,0.649
1987,Mobile,WHEAT,16,16,378298.0,372323.0,46.93,49.75,59.41,46.05,47.76,0.495
1987,Puget Sound (Seattle-Tacoma),BARLEY,17,21,744779.0,733018.0,54.27,57.52,51.39,52.66,56.36,0.831
1987,Puget Sound (Seattle-Tacoma),CORN,58,66,2520996.0,2481181.0,49.52,52.49,56.32,47.93,51.86,0.827
1987,Puget Sound (Seattle-Tacoma),SORGHUM,1,1,7824.0,7700.0,48.46,51.37,57.53,48.46,48.46,
1987,Puget Sound (Seattle-Tacoma),SOYBEANS,8,10,260223.0,256113.0,48.96,51.9,56.95,48.56,50.72,0.604
1987,Puget Sound (Seattle-Tacoma),WHEAT,15,20,237674.0,233921.0,44.99,47.69,61.99,43.75,46.98,0.848
1987,South Atlantic,BARLEY,3,3,62475.0,61488.0,58.72,62.25,47.48,58.24,59.06,0.411
1987,South Atlantic,CORN,79,91,2099184.0,2066030.0,49.01,51.95,56.89,47.77,50.21,0.565
1987,South Atlantic,SOYBEANS,19,26,580960.0,571785.0,49.6,52.58,56.22,48.48,51.01,0.655
1987,South Atlantic,WHEAT,13,13,370033.0,364188.0,46.49,49.28,59.98,45.76,47.42,0.479
1988,Beaumont,SOYBEANS,6,6,119211.0,117328.0,50.24,53.26,55.49,50.07,51.59,0.648
1988,Beaumont,WHEAT,40,45,1037723.0,1021333.0,45.37,48.09,61.46,44.8,46.22,0.379
1988,Columbia River,BARLEY,23,26,772847.0,760643.0,54.79,58.08,50.89,53.34,55.9,0.694
1988,Columbia River,CORN,112,149,5306806.0,5222993.0,48.52,51.43,57.47,45.99,50.15,0.547
1988,Columbia River,RYE,2,2,19896.0,19582.0,47.36,50.2,58.87,47.35,47.36,0.007
1988,Columbia River,SORGHUM,16,16,203644.0,200428.0,47.81,50.68,58.33,46.87,49.09,0.533
1988,Columbia River,SOYBEANS,12,16,323034.0,317932.0,49.4,52.37,56.44,48.45,49.97,0.513
1988,Columbia River,WHEAT,388,1018,13563625.0,13349389.0,45.22,47.93,61.67,43.62,47.43,0.557
1988,Corpus Christi,CORN,2,2,45627.0,44906.0,48.41,51.31,57.6,48.32,48.48,0.113
1988,Corpus Christi,SORGHUM,43,57,724597.0,713155.0,47.58,50.43,58.61,46.94,48.51,0.276
1988,Corpus Christi,WHEAT,31,35,604557.0,595008.0,45.97,48.72,60.66,44.35,46.65,0.516
1988,Great Lakes,BARLEY,38,67,734721.0,723119.0,56.67,60.07,49.24,47.92,59.12,1.352
1988,Great Lakes,CORN,86,161,2387909.0,2350191.0,49.45,52.42,56.39,47.38,50.71,0.689
1988,Great Lakes,RYE,2,2,10228.0,10067.0,47.35,50.19,58.88,47.32,47.37,0.035
1988,Great Lakes,SOYBEANS,37,53,703071.0,691969.0,49.33,52.29,56.52,48.15,50.05,0.431
1988,Great Lakes,SUNFLOWER,1,1,14105.0,13883.0,92.05,97.57,30.29,92.05,92.05,
1988,Great Lakes,WHEAT,84,172,1723536.0,1696316.0,46.86,49.68,59.5,44.77,48.38,0.592
1988,Houston,BARLEY,14,19,432160.0,425335.0,56.6,59.99,49.27,55.91,57.96,0.596
1988,Houston,CORN,22,27,343086.0,337667.0,48.38,51.29,57.63,47.95,49.09,0.322
1988,Houston,SORGHUM,77,90,1800159.0,1771726.0,47.6,50.45,58.58,46.58,49.36,0.44
1988,Houston,SOYBEANS,4,4,15215.0,14975.0,49.99,52.98,55.79,49.49,50.66,0.525
1988,Houston,WHEAT,352,448,12452673.0,12255993.0,45.68,48.42,61.04,44.37,48.28,0.736
1988,Lake Charles,SOYBEANS,12,12,158762.0,156253.0,50.21,53.22,55.54,49.61,51.99,0.751
1988,Lake Charles,WHEAT,65,67,2349324.0,2312218.0,45.56,48.29,61.21,44.73,46.89,0.425
1988,Mississippi River,BARLEY,2,2,74971.0,73787.0,55.71,59.05,50.05,55.53,55.96,0.304
1988,Mississippi River,CORN,682,1075,30454866.0,29973851.0,48.87,51.8,57.06,46.47,52.43,0.627
1988,Mississippi River,SORGHUM,156,187,2591461.0,2550525.0,48.14,51.03,57.93,46.48,49.64,0.63
1988,Mississippi River,SOYBEANS,376,593,14246836.0,14021826.0,49.82,52.81,55.97,47.95,62.63,1.11
1988,Mississippi River,WHEAT,214,339,6997928.0,6887399.0,46.24,49.01,60.32,44.64,48.07,0.768
1988,Mobile,BARLEY,1,1,22957.0,22594.0,56.11,59.48,49.69,56.11,56.11,
1988,Mobile,CORN,20,22,209262.0,205957.0,48.57,51.49,57.4,47.26,49.9,0.639
1988,Mobile,SOYBEANS,25,35,414160.0,407620.0,49.74,52.73,56.05,48.79,51.24,0.544
1988,Mobile,WHEAT,21,22,515646.0,507501.0,46.01,48.77,60.6,45.11,46.99,0.546
1988,Puget Sound (Seattle-Tacoma),BARLEY,1,1,32086.0,31579.0,54.98,58.28,50.71,54.98,54.98,
1988,Puget Sound (Seattle-Tacoma),CORN,95,130,5162077.0,5080557.0,48.72,51.65,57.23,47.04,49.71,0.426
1988,Puget Sound (Seattle-Tacoma),SORGHUM,12,13,155886.0,153424.0,47.97,50.85,58.13,47.19,49.34,0.714
1988,Puget Sound (Seattle-Tacoma),SOYBEANS,22,24,573623.0,564561.0,49.05,51.99,56.85,48.63,49.87,0.284
1988,Puget Sound (Seattle-Tacoma),WHEAT,20,30,411988.0,405482.0,45.23,47.94,61.66,44.26,46.77,0.516
1988,South Atlantic,BARLEY,2,2,50291.0,49496.0,58.19,61.68,47.91,58.1,58.28,0.127
1988,South Atlantic,CORN,50,72,1700903.0,1674037.0,49.17,52.12,56.72,47.61,50.37,0.6
1988,South Atlantic,SOYBEANS,26,33,700057.0,688999.0,49.56,52.53,56.26,48.77,50.6,0.477
1988,South Atlantic,WHEAT,22,23,697105.0,686097.0,46.26,49.04,60.28,45.36,47.4,0.595
1989,Beaumont,SORGHUM,1,1,2258.0,2223.0,47.64,50.49,58.53,47.64,47.64,
1989,Beaumont,SOYBEANS,15,18,222965.0,219445.0,50.48,53.51,55.23,49.27,52.02,0.676
1989,Beaumont,WHEAT,87,91,2567389.0,2526841.0,45.73,48.48,60.97,44.86,47.21,0.552
1989,Columbia River,BARLEY,15,21,514363.0,506241.0,54.97,58.27,50.75,52.82,57.02,1.411
1989,Columbia River,CORN,115,151,6273667.0,6174586.0,48.54,51.46,57.44,47.58,50.67,0.461
1989,Columbia River,RYE,6,6,56400.0,55510.0,47.89,50.77,58.22,47.4,48.52,0.404
