Cert_Date,Vessel,Port,Field_Office,Grain_Countries,Grain_Grades,Grain_Tons,Inspection_Count,Vessel_Norm,Port_Norm
2023-11-01,MUSALA,DULUTH-SUP,TOLEDO,EGYPT,2 O/B,20331,1,MUSALA,DULUTH-SUP
2023-11-05,MY VISION,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,66500,1,MY VISION,MISSISSIPPI R.
2023-01-17,MYKONOS,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,67321,1,MYKONOS,COLUMBIA R.
2023-07-03,N BONANZA,MISSISSIPPI R.,NEW ORLEANS,GERMANY,2 O/B,66853,1,N BONANZA,MISSISSIPPI R.
2023-08-28,N BONANZA,MISSISSIPPI R.,NEW ORLEANS,GERMANY,2 O/B,67120,1,N BONANZA,MISSISSIPPI R.
2023-01-24,NAIAS,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,66744,1,NAIAS,COLUMBIA R.
2023-10-26,NAIAS,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,68066,1,NAIAS,COLUMBIA R.
2023-08-21,NALINEE NAREE,S. TEXAS,LEAGUE CITY,COLOMBIA,1,22781,1,NALINEE NAREE,S. TEXAS
2023-03-06,NALUHU,MISSISSIPPI R.,NEW ORLEANS,EL SALVADOR,2 O/B,35052,1,NALUHU,MISSISSIPPI R.
2023-02-21,NANI K,COLUMBIA R.,PACIFICNW,KOREA REP,2 O/B,15352,2,NANI K,COLUMBIA R.
2023-02-22,NANI K,COLUMBIA R.,PACIFICNW,KOREA REP,2 O/B,17446,2,NANI K,COLUMBIA R.
2023-12-19,NARIE,DULUTH-SUP,TOLEDO,ALGERIA,2 O/B,20321,1,NARIE,DULUTH-SUP
2023-01-06,NASAKA,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,66517,1,NASAKA,COLUMBIA R.
2023-10-17,NASAKA,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,68126,1,NASAKA,COLUMBIA R.
2023-12-13,NASAKA,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,67999,1,NASAKA,COLUMBIA R.
2023-07-31,NAV NEHA,MISSISSIPPI R.,NEW ORLEANS,COSTA RICA,2 O/B,21234,3,NAV NEHA,MISSISSIPPI R.
2023-07-17,NAVA ULYSSES,MISSISSIPPI R.,NEW ORLEANS,HONDURAS,2 O/B,21724,1,NAVA ULYSSES,MISSISSIPPI R.
2023-11-07,NAVIOS ASTERIKS,COLUMBIA R.,PACIFICNW,PHILIPPINES,2 O/B,65105,2,NAVIOS ASTERIKS,COLUMBIA R.
2023-01-18,NAVIOS ASTERIKS,MISSISSIPPI R.,NEW ORLEANS,GERMANY,2 O/B,67073,1,NAVIOS ASTERIKS,MISSISSIPPI R.
2023-03-29,NAVIOS CENTAURUS,COLUMBIA R.,PACIFICNW,KOREA REP,2 O/B,66091,1,NAVIOS CENTAURUS,COLUMBIA R.
2023-06-06,NAVIOS CENTAURUS,PUGET SOUND,PACIFICNW,CHINA,2 O/B,68851,1,NAVIOS CENTAURUS,PUGET SOUND
2023-02-05,NAVIOS CHRISTINE B,MISSISSIPPI R.,NEW ORLEANS,EL SALVADOR,2 O/B,37840,1,NAVIOS CHRISTINE B,MISSISSIPPI R.
2023-09-23,NAVIOS CITRINE,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,70637,1,NAVIOS CITRINE,MISSISSIPPI R.
2023-02-10,NAVIOS GALILEO,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,66219,1,NAVIOS GALILEO,MISSISSIPPI R.
2023-01-08,NAVIOS HARMONY,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,68002,1,NAVIOS HARMONY,COLUMBIA R.
2023-12-14,NAVIOS HELIOS,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,66205,1,NAVIOS HELIOS,COLUMBIA R.
2023-11-10,NAVIOS HERAKLES I,COLUMBIA R.,PACIFICNW,CHINA,2 O/B,67967,1,NAVIOS HERAKLES I,COLUMBIA R.
2023-02-13,NAVIOS HERAKLES I,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,69299,1,NAVIOS HERAKLES I,MISSISSIPPI R.
2023-11-30,NAVIOS HOPE,N. TEXAS,LEAGUE CITY,CHINA,2 O/B,57130,1,NAVIOS HOPE,N. TEXAS
2023-10-19,NAVIOS HYPERION,PUGET SOUND,PACIFICNW,CHINA,2 O/B,66732,1,NAVIOS HYPERION,PUGET SOUND
2023-04-14,NAVIOS LA PAIX,COLUMBIA R.,PACIFICNW,TAIWAN,1,8557,1,NAVIOS LA PAIX,COLUMBIA R.
2023-04-17,NAVIOS LA PAIX,COLUMBIA R.,PACIFICNW,TAIWAN,1,41947,2,NAVIOS LA PAIX,COLUMBIA R.
2023-02-15,NAVIOS LA PAIX,MISSISSIPPI R.,NEW ORLEANS,COSTA RICA,2 O/B,46818,2,NAVIOS LA PAIX,MISSISSIPPI R.
2023-12-14,NAVIOS LA PAIX,MISSISSIPPI R.,NEW ORLEANS,COLOMBIA,2 O/B,54999,1,NAVIOS LA PAIX,MISSISSIPPI R.
2023-11-08,NAVIOS ORBITER,MISSISSIPPI R.,NEW ORLEANS,CHINA,2 O/B,66807,1,NAVIOS ORBITER,MISSISSIPPI R.
2023-11-08,NAVIOS PRIMAVERA,MISSISSIPPI R.,NEW ORLEANS,TURKEY,2 O/B,72280,1,NAVIOS PRIMAVERA,MISSISSIPPI R.
2023-06-12,NAVIOS SKY,MISSISSIPPI R.,NEW ORLEANS,EGYPT,2 O/B,67829,1,NAVIOS SKY,MISSISSIPPI R.
2023-05-16,NAVIOS SOUTHERN STAR,COLUMBIA R.,PACIFICNW,JAPAN,2 O/B,9200,1,NAVIOS SOUTHERN STAR,COLUMBIA R.
2023-05-17,NAVIOS SOUTHERN STAR,COLUMBIA R.,PACIFICNW,JAPAN,3 O/B,58800,1,NAVIOS SOUTHERN STAR,COLUMBIA R.
2023-10-01,NAVIOS VENUS,MISSISSIPPI R.,NEW ORLEANS,COLOMBIA,2 O/B,33592,1,NAVIOS VENUS,MISSISSIPPI R.
2023-02-03,NAZENIN,MISSISSIPPI R.,NEW ORLEANS,PERU,2 O/B,26399,1,NAZENIN,MISSISSIPPI R.
