Carrier,Carrier Name,action,Group,Commodity,Cargo,CargoDetail
SXBW,Swire Bulk Pte Ltd,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
CLPP,Clipper Bulk Shipping Ltd,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
POBU,Pan Ocean Co Ltd,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
SFFV,Spliethoff Transport B V,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
SFCR,Saga Welco As,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
GSSW,G2 Ocean Us Inc,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
CSSL,The Csl Group Inc,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
PXBC,Phoenix Bulk Carriers (U S) Corp,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
SMTH,Smt Shipping (Cyprus) Ltd,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
ULTH,Ultrabulk,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
VULI,Vulica Shipping Company Limited,"never liquid bulk, liquided gas, roro, or reefer, default dry bulk, but allow per ission to be over wtitten only with Break-Bulk at later stage in scripting",Dry Bulk,,,
