Zone,Facility,Vessel Types,Activity,Cargoes,ZoneType,Note
179 Buoys,Copper Darrow Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
180 Buoys,Copper Darrow Buoys,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Dockside Buoys Lower,Copper Dockside Buoys ,Bulk - Only,Load or Discharge,"Dry Bulk, Break Bulk Only",Mid-Stream,
Corner Stone,Cornerstone Chemical,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Cornerstone,Cornerstone Chemical,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Baker Hughes,Cosmar Carville,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Crosstex Energy,Crosstex Energy,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Tank Storage,
Davant Anch,Davant Anch,All,Anchoring - Only,All,Anchorage,
Dockside Anch,Dockside Anch,All,Anchoring - Only,All,Anchorage,
Domino Sugar,Domino Sugar,Bulk - Only,Discharge - Only,Sugar - Only,Bulk Plant,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Domnio Sugar,Domino Sugar,Bulk - Only,Discharge - Only,Sugar - Only,Bulk Plant,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Dow Missouri,Dow Missouri,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Dow Plaquemine,Dow Plaquemine,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Dow Taft,Dow Taft,Tanker - Only,Load or Discharge,Liquid Bulk - Only,Chemical Plant,
Drax Biomass,Drax Biomass,Bulk - Only,Load - Only ,Wood Pellets - Only,Bulk Plant,
Dreyfuss,Dreyfuss,Bulk - Only,Load - Only ,Grain - Only,Elevator,"Nodes are nestled in close proximity , often ais signal gets mixed between zones, terminal name/type may need correction"
Erato St,Erato St,Cruise Only,All,Passengers Only,General Cargo,
