port_code,sked_d_name,cbp_appendix_e_name,district_code,district_name,state,port_consolidated,port_coast,port_region,port_type
1305,"BALTIMORE-WASHINGTON INTERNATIONAL AIRPORT, MD","Baltimore-Washington International Airport, Baltimore, Maryland",13,"BALTIMORE, MD",MD,Baltimore,East,Mid-Atlantic,airport
1401,"NORFOLK-NEWPORT NEWS, VA","Norfolk, Virginia",14,"NORFOLK, VA",VA,Hampton Roads,East,South Atlantic,seaport
1404,"RICHMOND-PETERSBURG, VA","Richmond-Petersburg, Virginia",14,"NORFOLK, VA",VA,"Richmond-Petersburg, Virginia",East,South Atlantic,inland
1409,"CHARLESTON, WV","Charleston, West Virginia",14,"NORFOLK, VA",WV,"Charleston, West Virginia",Inland,South Atlantic,inland
1410,"FRONT ROYAL, VA","Front Royal, Virginia",14,"NORFOLK, VA",VA,"Front Royal, Virginia",Inland,South Atlantic,inland
1412,"NEW RIVER VALLEY AIRPORT, VA",,14,"NORFOLK, VA",VA,Hampton Roads,East,South Atlantic,airport
1501,"WILMINGTON, NC","Wilmington, North Carolina",15,"WILMINGTON, NC",NC,North Carolina Ports,East,South Atlantic,seaport
1502,"WINSTON-SALEM, NC","Winston-Salem, North Carolina",15,"WILMINGTON, NC",NC,North Carolina Ports,Inland,South Atlantic,land_border
1503,"DURHAM, NC","Durham, North Carolina",15,"WILMINGTON, NC",NC,"Durham, North Carolina",Inland,South Atlantic,inland
1511,"BEAUFORT-MOREHEAD CITY,NC","Beaufort-Morehead City, North Carolina",15,"WILMINGTON, NC",NC,North Carolina Ports,East,South Atlantic,seaport
1512,"CHARLOTTE, NC","Charlotte, North Carolina",15,"WILMINGTON, NC",NC,"Charlotte, North Carolina",Inland,South Atlantic,inland
1581,,"Charlotte-Monroe User Fee Airport, Monroe, North Carolina",15,,NC,North Carolina Ports,East,South Atlantic,
1601,"CHARLESTON, SC","Charleston, South Carolina",16,"CHARLESTON, SC",SC,Charleston,East,South Atlantic,seaport
1602,"GEORGETOWN, SC","Georgetown, South Carolina",16,"CHARLESTON, SC",SC,Charleston,East,South Atlantic,seaport
1603,"GREENVILLE-SPARTANBRG, SC","Greenville-Spartanburg, South Carolina",16,"CHARLESTON, SC",SC,South Carolina Ports,Inland,South Atlantic,land_border
1604,"COLUMBIA, SC","Columbia, South Carolina",16,"CHARLESTON, SC",SC,"Columbia, South Carolina",Inland,South Atlantic,inland
1681,"MYRTLE BEACH INTL AIRPORT, SC","Myrtle Beach International Airport, Myrtle Beach, South Carolina",16,"CHARLESTON, SC",SC,South Carolina Ports,East,South Atlantic,airport
1701,"BRUNSWICK, GA","Brunswick, Georgia",17,"SAVANNAH, GA",GA,Georgia Ports,East,South Atlantic,seaport
1703,"SAVANNAH, GA","Savannah, Georgia",17,"SAVANNAH, GA",GA,Georgia Ports,East,South Atlantic,seaport
1704,"ATLANTA, GA","Atlanta, Georgia",17,"SAVANNAH, GA",GA,"Atlanta, Georgia",Inland,South Atlantic,inland
1755,,"Port for Tracking, Savannah, Georgia",17,,GA,Georgia Ports,East,South Atlantic,
1758,,"Olympics Security, Atlanta, Georgia",17,,GA,Georgia Ports,East,South Atlantic,
1759,,"Atlanta-Olympics, Atlanta, Georgia",17,,GA,Georgia Ports,East,South Atlantic,
1781,,"Cobb County International Airport, Kenshaw, Georgia",17,,GA,Georgia Ports,East,South Atlantic,
1791,"ATLANTA HARTSFIELD AIRPORT, GA",,17,"SAVANNAH, GA",GA,Atlanta,Inland,South Atlantic,airport
1801,"TAMPA, FL","Tampa, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,seaport
1803,"JACKSONVILLE, FL","Jacksonville, Florida",18,"TAMPA, FL",FL,Jacksonville,East,South Atlantic,seaport
1805,"FERNANDINA BEACH, FL","Fernandina Beach, Florida",18,"TAMPA, FL",FL,Fernandina Beach,East,South Atlantic,seaport
1807,"BOCA GRANDE, FL","Boca Grande, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,seaport
1808,"ORLANDO, FL","Orlando, Florida",18,"TAMPA, FL",FL,"Orlando, Florida",Inland,South Atlantic,inland
1809,"ORLANDO-SANFORD AIRPORT, FL","Orlando-Sanford Airport, Sanford, Florida",18,"TAMPA, FL",FL,Orlando,Inland,South Atlantic,airport
1814,"ST. PETERSBURG, FL","St. Petersburg, Florida",18,"TAMPA, FL",FL,"St. Petersburg, Florida",Gulf,Gulf East,inland
1816,"PORT CANAVERAL, FL","Port Canaveral, Florida",18,"TAMPA, FL",FL,Port Canaveral,East,South Atlantic,seaport
1818,"PANAMA CITY, FL","Panama City, Florida",18,"TAMPA, FL",FL,Panama City,Gulf,Gulf East,seaport
1819,"PENSACOLA, FL","Pensacola, Florida",18,"TAMPA, FL",FL,Pensacola,Gulf,Gulf East,seaport
1820,,"Port St. Joe, Florida",18,,FL,Tampa,Gulf,Gulf East,
1821,"PORT MANATEE, FL","Port Manatee, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,seaport
1822,"FORT MYERS AIRPORT, FL","Fort Myers, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,airport
1880,"NAPLES MUNICIPAL USER FEE AIRP, FL","Naples Municipal Airport, Naples, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,airport
1881,,"Lakeland Linder Airport, Lakeland, Florida",18,,FL,Tampa,Gulf,Gulf East,
1883,"SARASOTA BRADENTON ARPT, FL","Sarasota-Bradenton Airport, Sarasota, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,airport
1884,"DAYTONA BEACH INT'L ARPT, FL","Daytona Beach International Airport, Daytona Beach, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,airport
1885,"MELBOURNE REGIONAL AIRPORT, FL","Melbourne Regional Airport, Melbourne, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,airport
1887,"LEESBURG REGIONAL AIRP, LEESBURG, FL","Leesburg Regional Airport, Leesburg, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,airport
1888,"ORLANDO EXECUTIVE AIRPORT, FL","Orlando Executive Airport, Orlando, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,airport
1889,"ST. AUGUSTINE AIRPORT, FL","St. Augustine Airport (User Fee Airport), St Augustine, Florida",18,"TAMPA, FL",FL,Tampa,Gulf,Gulf East,airport
1901,"MOBILE, AL","Mobile, Alabama",19,"MOBILE, AL",AL,Mobile,Gulf,Gulf East,seaport
1902,"GULFPORT, MS","Gulfport, Mississippi",19,"MOBILE, AL",MS,Gulfport,Gulf,Gulf East,seaport
1903,"PASCAGOULA, MS","Pascagoula, Mississippi",19,"MOBILE, AL",MS,Pascagoula,Gulf,Gulf East,seaport
1904,"BIRMINGHAM, AL","Birmingham, Alabama",19,"MOBILE, AL",AL,"Birmingham, Alabama",Gulf,Gulf East,inland
1905,,"Apalachicola, Florida",19,,FL,Mobile,Gulf,Gulf East,
1906,,"Carrabelle, Florida",19,,FL,Mobile,Gulf,Gulf East,
1910,"HUNTSVILLE, AL","Huntsville, Alabama",19,"MOBILE, AL",AL,"Huntsville, Alabama",Gulf,Gulf East,inland
2001,"MORGAN CITY, LA","Morgan City, Louisiana",20,"NEW ORLEANS, LA",LA,Morgan City,Gulf,Gulf East,seaport
2002,"NEW ORLEANS, LA","New Orleans, Louisiana",20,"NEW ORLEANS, LA",LA,Lower Miss River,Gulf,Gulf East,seaport
2003,"LITTLE ROCK, AR","Little Rock, Arkansas",20,"NEW ORLEANS, LA",AR,"Little Rock, Arkansas",Inland,Mississippi River,inland
2004,"BATON ROUGE, LA","Baton Rouge, Louisiana",20,"NEW ORLEANS, LA",LA,Lower Miss River,Gulf,Gulf East,seaport
2006,"MEMPHIS, TN","Memphis, Tennessee",20,"NEW ORLEANS, LA",TN,"Memphis, Tennessee",Inland,Mississippi River,inland
2007,"NASHVILLE, TN","Nashville, Tennessee",20,"NEW ORLEANS, LA",TN,"Nashville, Tennessee",Inland,Mississippi River,inland
2008,"CHATTANOOGA, TN","Chattanooga, Tennessee",20,"NEW ORLEANS, LA",TN,"Chattanooga, Tennessee",Inland,Mississippi River,inland
2010,"GRAMERCY, LA","Gramercy, Louisiana",20,"NEW ORLEANS, LA",LA,Lower Miss River,Gulf,Gulf East,seaport
2011,"GREENVILLE, MS","Greenville, Mississippi",20,"NEW ORLEANS, LA",MS,"Greenville, Mississippi",Gulf,Gulf East,inland
2015,"VICKSBURG, MS","Vicksburg, Mississippi (Include Jackson Municipal Airport)",20,"NEW ORLEANS, LA",MS,"Vicksburg, Mississippi (Include Jackson Municipal Airport)",Inland,Mississippi River,inland
2016,"KNOXVILLE, TN","Knoxville, Tennessee",20,"NEW ORLEANS, LA",TN,"Knoxville, Tennessee",Inland,Mississippi River,inland
2017,"LAKE CHARLES, LA","Lake Charles, Louisiana",20,"NEW ORLEANS, LA",LA,Lake Charles,Gulf,Gulf East,seaport
2018,"SHREVEPORT/BOSSIER CITY, LA","Shreveport-Bossier City, Louisiana",20,"NEW ORLEANS, LA",LA,"Shreveport-Bossier City, Louisiana",Gulf,Gulf East,inland
2027,"TRI-CITIES AIRPORT, TN","Tri-Cities Airport, Blountville, Tennessee",20,"NEW ORLEANS, LA",TN,New Orleans,Gulf,Gulf East,airport
2081,,"Jackson Airport, Jackson, Mississippi",20,,MS,New Orleans,Gulf,Gulf East,
2084,,"Rogers Municipal Airport, Rogers, Arkansas",20,,AR,New Orleans,Gulf,Gulf East,
2095,"FEDEX, MEMPHIS, TN","Fedex Corp Memphis Hub, Memphis, Tennessee",20,"NEW ORLEANS, LA",TN,New Orleans,Gulf,Gulf East,courier
2101,"PORT ARTHUR, TX","Port Arthur, Texas",21,"PORT ARTHUR, TX",TX,Sabine River,Gulf,North Texas,seaport
2102,"SABINE, TX","Sabine, Texas",21,"PORT ARTHUR, TX",TX,Sabine River,Gulf,North Texas,seaport
2103,"ORANGE, TX","Orange, Texas",21,"PORT ARTHUR, TX",TX,Sabine River,Gulf,North Texas,seaport
2104,"BEAUMONT, TX","Beaumont, Texas",21,"PORT ARTHUR, TX",TX,Sabine River,Gulf,North Texas,seaport
2301,"BROWNSVILLE, TX","Brownsville, Texas",23,"LAREDO, TX",TX,South Texas Border,Land Ports,South Texas,land_border
2302,"DEL RIO, TX","Del Rio, Texas",23,"LAREDO, TX",TX,Del Rio,Land Ports,South Texas,land_border
2303,"EAGLE PASS, TX","Eagle Pass, Texas",23,"LAREDO, TX",TX,Eagle Pass,Land Ports,South Texas,land_border
2304,"LAREDO, TX","Laredo, Texas",23,"LAREDO, TX",TX,Laredo,Land Ports,South Texas,land_border
2305,"HIDALGO, PHARR, TX","Hidalgo, Texas",23,"LAREDO, TX",TX,Hidalgo/Pharr,Land Ports,South Texas,land_border
2307,"RIO GRANDE CITY, TX","Rio Grande City, Texas",23,"LAREDO, TX",TX,South Texas Border,Land Ports,South Texas,land_border
2309,"PROGRESO, TX","Progreso, Texas",23,"LAREDO, TX",TX,South Texas Border,Land Ports,South Texas,land_border
2310,"ROMA, TX","Roma, Texas",23,"LAREDO, TX",TX,South Texas Border,Land Ports,South Texas,land_border
2377,,"Harlingen # Valley International, Harlingen, Texas",23,,TX,South Texas Border,Land Ports,South Texas,
2383,"VALLEY INTL AIRPORT, HARLINGEN, TX","Valley International User Fee Airport, Harlingen, Texas",23,"LAREDO, TX",TX,South Texas Border,Land Ports,South Texas,airport
2393,,"Brownsville-Cartage Control, Brownsville, Texas",23,,TX,South Texas Border,Land Ports,South Texas,
2397,,"Roma-Cartage Control, Roma, Texas",23,,TX,South Texas Border,Land Ports,South Texas,
2398,,"Hidalgo Cartage Control, Pharr, Texas",23,,TX,South Texas Border,Land Ports,South Texas,
2401,"YSLETA, TX","Area Port of Ysleta, Texas",24,"EL PASO, TX",TX,El Paso,Land Ports,Land Ports,land_border
2402,"EL PASO, TX","El Paso, Texas",24,"EL PASO, TX",TX,El Paso,Land Ports,Land Ports,land_border
2403,"PRESIDIO, TX","Presidio, Texas",24,"EL PASO, TX",TX,El Paso Border,Land Ports,Land Ports,land_border
