registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code
110001632626,LONE STAR IND INC DBA BUZZI UNICEM USA- / LONE STAR INDUSTRIES OKC,4601 N E 4TH,OKLAHOMA CITY,OK,73117,OKLAHOMA,6.0,35.47147,-97.43706,423320
110012160277,MINICK MATERIALS / 326 N COUNCIL,326 N COUNCIL,OKLAHOMA CITY,OK,73127,OKLAHOMA,6.0,35.47039,-97.65426,423320
110001632608,ASH GROVE CEMENT CO / 2727 SW 25,2727 SW 25TH ST,OKLAHOMA CITY,OK,73108,OKLAHOMA,6.0,35.43932,-97.562,423320
110012175868,MASONS SUPPLY COMPANY,2637 SE 12TH AVE,PORTLAND,OR,97202,MULTNOMAH,10.0,45.50393,-122.65376,423320
110069430119,LEHIGH NORTHWEST CEMENT COMPANY,4035 SE 22ND AVE,PORTLAND,OR,97202,MULTNOMAH COUNTY,10.0,45.49337,-122.6428,423320
110071163318,CEMENT DISTRIBUTION CTR,3737 N PORT CENTER WAY,PORTLAND,OR,97217,MULTNOMAH,10.0,45.55393,-122.69597,423320
110014269460,ECO BUILDING PRODUCTS,2860 CHERRY AVE NE,SALEM,OR,97301,MARION,10.0,44.966538,-123.01942,423320
110002376232,DAYTON SUPERIOR CORP ALLENTOWN DISTRIBUTION CTR,7130 AMBASSADOR DRIVE,ALLENTOWN,PA,18106,LEHIGH,3.0,40.594458,-75.621533,423320
110000603525,ESSROC CEMENT CORP,17 2ND ST,BESSEMER,PA,16112,LAWRENCE,3.0,40.97412,-80.488461,423320
110070884735,HEIDELBERG MATERIALS US CEMENT BESSEMER PLT,SECOND STREET & EAST POLAND AVENUE,BESSEMER,PA,16112,LAWRENCE COUNTY,3.0,40.972238,-80.491724,423320
110071097331,BULLSKIN TIPPLE,114 NARROWS RD,CONNELLSVILLE,PA,15425,FAYETTE COUNTY,3.0,40.02814,-79.592355,423320
110070616480,EM RESOURCES LLC/MONTOUR PLT,304 STRAWBERRY RIDGE RD,DANVILLE,PA,17821,MONTOUR COUNTY,3.0,41.082745,-76.643328,423320
110071823481,BALTIMORE FABRICATION,1 CHURCH RD,EMIGSVILLE,PA,17365,,3.0,40.02,-76.722222,423320
110007744744,TRENWYTH INDUSTRIES - TRENDSTONE PLANT,ONE CHURCH RD.,EMIGSVILLE,PA,17318,YORK,3.0,40.0188,-76.724138,423320
110070099870,COMMERCIAL ASPHALT SUPPLY FENNELTON,3000 OLD ROUTE 422 E,FENELTON,PA,16034,BUTLER COUNTY,3.0,40.85166,-79.71301,423320
110071671302,GREENCASTLE DG,650 N ANTRIM WAY,GREENCASTLE,PA,17225,,3.0,39.799444,-77.725278,423320
110001161171,SHEESLEY SUPPLY - HORNER AVE,837 HORNER STREET,JOHNSTOWN,PA,15902,CAMBRIA,3.0,40.30607,-78.91138,423320
110001100175,KOSMOS CEMENT,200 NEVILLE RD,NEVILLE ISLAND,PA,15225,ALLEGHENY,3.0,40.49214,-80.07991,423320
110007336524,COLLIER STONE - MCSHANE QUARRY,80 NOBLESTOWN ROAD,PENNSYLVANIA,PA,15106,ALLEGHENY,3.0,40.39765,-80.13064,423320
110022796189,"BRYAN FRANK, INC.",100 S 3RD ST,PITTSBURGH,PA,15219,ALLEGHENY,3.0,40.430469,-79.997292,423320
110070569547,ALLAN MYERS LP DBA ALLAN MYERS MATERIALS/READING ASPH PLT,5662 LEESPORT AVENUE,READING,PA,19605,BERKS,3.0,40.42045,-75.92862,423320
110001060887,LEE CONCRETE PROD/WINDBER,648 SEANOR RD,WINDBER,PA,15963,SOMERSET,3.0,40.23268,-78.85997,423320
