facility_id,dataset_source,source_record_id,source_name,source_address,source_city,source_county,source_lat,source_lng,distance_meters,name_similarity,match_confidence,match_method
MRTIS_0019,EPA_FRS,110011157764,RIVERBEND OXIDATION POND - POYDRAS-VERRET WETLAND,7501 E JUDGE PEREZ DR,CHALMETTE,ST. BERNARD,29.881224,-89.878496,2370.0,0.209,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110064614083,ST BERNARD PARISH SD#2 (HIGHLA,3400 STACIE DRIVE,VIOLET,ST. BERNARD,29.915202,-89.89165,2837.9,0.292,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110040084379,ST. BERNARD VIOLET STP,3400 STACIE DR,VIOLET,ST. BERNARD,29.915202,-89.89165,2837.9,0.359,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110008992493,"VAL J. DAUTERIVE & SON, INC.",6201G E. ST. BERNARD HWY.,VIOLET,ST. BERNARD,29.898361,-89.900583,836.2,0.256,LOW,spatial+fuzzy_name
MRTIS_0019,EPA_FRS,110070863663,VIOLET DOCK PORT,650 E ST BERNARD HIGHWAY,VIOLET,ST. BERNARD PARISH,29.89478,-89.902281,472.7,0.706,MEDIUM,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110009014501,BELLSOUTH TELECOMMUNICATIONS,8201 SARO LN,ST BERNARD,ST. BERNARD,29.868301,-89.894524,2570.4,0.087,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110069592122,BOARD OF COMMISSIONERS OF THE PORT OF NEW ORLEANS,LA INTERNATIONAL TERMINAL VDP GUARD SHACK,VIOLET,ST. BERNARD,29.896111,-89.900278,586.0,0.125,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110071813672,BOARD OF COMMISSIONERS OF THE PORT OF NEW ORLEANS - LA INTERNATIONAL TERMINAL,"6820 E. ST BERNARD HWY,",VIOLET,ST. BERNARD,29.888911,-89.8973,370.6,0.174,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110070029888,"DIRTY RED, LLC",5000 EAST ST. BERNARD HWY,VIOLET,ST. BERNARD,29.915472,-89.91165,2944.4,0.222,LOW,spatial+fuzzy_name
MRTIS_0020,EPA_FRS,110008992643,GAUBERT OIL COMPANY LLC - S&P CHEVRON,6205 E. ST. BERNARD HWY,VIOLET,ST. BERNARD,29.898222,-89.900889,821.7,0.25,LOW,spatial+fuzzy_name
