IMO,VesselName,TotalVoyages,CompleteVoyages,AvgInboundDurationHours,AvgOutboundDurationHours,AvgPortDurationHours,AvgVesselUtilizationPct,MostFrequentDischargeTerminal,TotalCargoEstimateTonnes,AvgCargoPerVoyageTonnes
9848522,Ocean Time,3,3,189.49,98.83,178.46,32.4,Cargill Reserve,,
9848534,Ocean Tide,1,1,283.43,36.18,18.80,5.6,Zen-Noh,,
9848584,Mari Couva,4,4,99.96,12.69,59.73,39.5,Cosmar Carville,,
9848649,Askio,4,4,83.45,25.77,60.52,36.8,Dreyfuss,,
9848687,Mari Kokako,8,8,63.25,14.50,66.75,47.5,Cosmar Carville,,
9848998,Kim Oldendorff,1,1,45.20,9.90,71.37,56.4,Cargill Westwego,,
9849007,Klara Oldendorff,2,2,123.71,17.08,165.30,55.6,Drax Biomass,,
9849045,Sea Eagle,4,4,54.12,37.74,49.95,45.4,KMI Harvey,,
9849057,Msxt Cathy,3,3,271.13,24.48,39.68,22.0,IMT Coal,,
9849069,Msxt Flora,1,1,31.65,7.13,230.82,85.6,AST Meraux Buoys,,
9849253,Resolve II,3,3,69.28,17.86,53.82,53.0,Exxon Baton Rouge,,
9849265,Clearocean Melody,4,3,55.34,27.85,36.92,34.1,Marathon Garyville,,
9849382,Clearocean Magic,2,2,61.50,11.50,36.59,35.9,Marathon Garyville,,
9849394,Clearocean Miracle,2,1,36.98,10.48,42.22,47.1,Marathon Garyville,,
9849502,Desert Grace,7,7,91.50,126.96,93.53,45.8,AST Meraux Buoys,,
9849552,Yangze 15,4,4,165.50,17.21,86.71,33.0,Cenex Harvest States,,
9849784,Atalanti Gr,2,2,106.39,14.54,71.10,39.2,Dreyfuss,,
9849796,Kassiopi Gr,5,5,132.91,14.85,58.28,29.4,Zen-Noh,,
9849904,Golden Freeze,1,0,,,,,,,
9850020,Lmz Francisco,2,2,336.33,7.96,62.02,19.0,Cenex Harvest States,,
9850202,Takaroa Sun,8,8,108.43,21.54,54.42,41.3,IMTT,,
9850214,Creole Sun,10,10,66.68,24.36,55.00,41.8,IMTT,,
9850769,Jabal Almisht,3,3,53.63,93.13,87.57,40.5,UBT Davant,,
9851323,Bulk Greece,4,4,174.98,18.99,62.91,27.6,Cenex Harvest States,,
9851335,Alamo,9,9,149.67,8.92,63.80,37.9,Cargill Reserve,,
9851347,Anshun,2,2,86.30,8.35,92.57,83.3,AGG,,
9851359,Integrity Daido,1,1,10.75,89.48,144.08,59.0,AST Chalmette Slip,,
9851505,Royal Kaleido,7,7,85.92,17.34,85.53,50.4,Waggaman Buoys,,
9851517,Royal Neptune,4,4,164.88,241.28,59.54,25.4,Nucor Steel,,
9851701,Cb Baltic,1,1,70.58,,,,,,
9851725,Cb Pacific,1,1,36.92,79.78,37.65,24.4,KMI Harvey,,
9851787,Qogir,1,1,763.60,,,,,,
9852028,Jens Oldendorff,1,1,95.00,,,,,,
9852030,Jonas Oldendorff,4,3,222.43,55.53,74.63,36.4,ADM AMA,,
9852092,Akmi,6,6,156.59,8.71,72.58,42.8,Bunge Destrehan,,
9852133,Winnipeg,8,8,53.07,13.67,32.93,42.7,CFI Donaldsonville,,
9852145,Yukon,10,9,49.57,13.61,35.58,43.7,PCS Nitrogen,,
9852212,Izumo Hermes,1,1,140.22,,,,,,
9852224,Wonderful World,5,5,34.81,8.39,45.37,58.7,Nashville Ave,,
9852523,Golden Fortune,4,3,114.97,9.99,90.84,39.4,Zen-Noh,,
9852535,Golden Forward,2,2,209.71,15.89,79.82,30.1,Dreyfuss,,
9852652,Dionisis,2,2,123.83,183.33,98.03,24.0,ARTCO 110-111 Buoys,,
9852664,Santa Teresa,4,4,231.05,73.20,67.29,22.3,ADM Destrehan,,
9852676,Amis Queen,1,0,,,,,ADM Destrehan Buoys,,
9852690,Union Fuji,4,4,41.83,180.76,91.87,35.7,Copper Dockside Buoys,,
9852705,African Wren,1,1,232.60,13.07,76.85,23.8,Cargill Reserve,,
9852717,African Warbler,1,1,60.63,47.38,102.72,48.7,AST Meraux Buoys,,
9852729,Brave Star,8,8,31.49,84.79,76.65,55.8,Nashville Ave,,
9852731,Jorita,5,5,65.63,40.49,77.07,45.6,Cargill Reserve,,
9852743,Al Wathba,1,1,234.02,,,,,,
9852767,Al Dhafra,3,3,150.76,9.41,58.75,35.3,Bunge Destrehan,,
9852779,Evgenia K,4,3,264.22,155.08,81.35,33.3,Zen-Noh,,
9852793,Aom Sveva,4,4,223.29,177.03,193.26,43.9,Drax Biomass,,
9852808,Harriet P,6,6,105.89,93.92,90.10,43.0,Nucor Steel,,
9852810,Vassos 2,2,2,93.33,20.66,82.22,39.1,Zen-Noh,,
9852822,Malena,3,2,95.95,8.41,97.19,50.3,Cargill Reserve,,
9852884,Navios Uranus,4,3,327.40,27.49,78.46,16.8,Zen-Noh,,
9852925,Navios Libra,2,2,164.28,10.56,64.79,27.0,Zen-Noh,,
9852937,Navios Herakles I,1,1,189.42,,,,,,
9853008,Minerva Kallisto,2,2,44.96,13.92,51.41,46.9,Aramco Convent,,
9853018,Es Kure,1,1,174.07,9.77,35.07,16.0,ADM AMA,,
9853022,Beate Oldendorff,3,3,52.89,79.36,118.30,51.4,AST Meraux Buoys,,
9853034,Benjamin Oldendorff,3,3,143.33,93.31,73.42,25.2,Convent Marine Terminal,,
9853046,Britta Oldendorff,8,8,175.65,160.16,132.39,40.3,AST Meraux Buoys,,
9853072,Boliche,2,2,48.82,190.10,55.93,23.3,Laplace Buoys,,
9853084,Ultra Incahuasi,4,4,202.77,32.48,158.26,46.0,Port of Baton Rouge,,
9853096,Giovanni Corrado,3,3,253.77,41.53,44.52,15.1,Poland St,,
9853113,Ting May,1,1,200.48,9.45,64.77,23.6,Bunge Destrehan,,
9853125,New Drive,14,14,59.00,74.80,67.86,48.4,Nashville Ave,,
9853216,Navig8 Goal,5,4,112.67,29.29,78.86,47.3,IMTT,,
9853228,Navig8 Gauntlet,5,5,127.35,30.90,51.88,28.8,IMTT,,
9853230,Navig8 Gladiator,4,3,37.67,14.00,69.78,57.5,Cosmar Carville,,
9853242,Navig8 Gratitude,2,1,26.22,14.82,71.73,63.6,KMI Harvey,,
9853254,Sea Elephant,6,6,72.44,11.02,39.38,55.6,Marathon Garyville,,
9853266,Navig8 Perseverance,4,4,42.02,16.07,44.36,48.4,Drax Biomass,,
9853278,Navig8 Passion,1,1,76.02,13.52,61.97,40.9,MPLX Mt Airy,,
9853400,Aurviken,2,2,19.77,11.98,61.18,66.5,Valero St Charles,,
9853436,Federal Osaka,4,4,47.36,20.09,40.25,44.2,Convent Marine Terminal,,
9853515,Selena,1,1,42.15,6.80,67.33,57.9,Cenex Harvest States,,
9853527,Maritime Gracious,2,2,27.73,79.54,74.12,43.1,KMI Harvey,,
9853539,Maritime Guardian,2,1,66.75,,,,KMI Harvey,,
9853541,Maritime Inspiration,3,2,29.95,13.22,56.11,56.8,KMI Harvey,,
9853553,Maritime Verity,3,2,76.92,8.72,49.37,46.2,KMI Harvey,,
9853606,Bulk Mustique,2,1,30.42,29.78,27.07,31.0,ARTCO 110-111 Buoys,,
9853618,Star Gaia,3,3,114.33,133.05,100.22,30.9,Waggaman Buoys,,
9853620,Nord Madeira,6,6,64.83,133.59,92.21,48.5,Waggaman Buoys,,
9853632,Nord Mamore,2,1,85.13,12.22,165.37,62.9,Port of Baton Rouge,,
