HS4,HS2,Description
2509,25,CHALK
2510,25,NATURAL CALCIUM PHOSPHATES
2511,25,NATURAL BARIUM SULFATE (BARYTES) GROUND
2512,25,SILICEOUS FOSSIL MEALS (SUCH AS KIESELGUHR
2513,25,PUMICE
2514,25,SLATE
2515,25,MARBLE AND TRAVERTINE
2516,25,GRANITE
2517,25,PEBBLES & GRAVEL
2518,25,DOLOMITE NOT CALCINED OR SINTERED
2519,25,NATURAL MAGNESIUM CARBONATE (MAGNESITE)
2520,25,GYPSUM; ANHYDRITE
2521,25,LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONE
2522,25,QUICKLIME
2523,25,CEMENT CLINKERS
2524,25,CROCIDOLITE (BLUE)
2525,25,SPLIT BLOCK MICA
2526,25,NATURAL STEATITE
2528,25,NATURAL SODIUM BORATES AND CONCENTRATES THEREOF (WHETHER OR NOT CALCINED)
2529,25,FELDSPAR
2530,25,VERMICULITE
2601,26,IRON ORE NONAGGLOMERATED CONCENTRATES
2602,26,MANGANESE ORES AND CONCENTRATES WITH A MANGANESE CONTENT OF 20 PERCENT OR MORE
2603,26,COPPER ORES AND CONCENTRATES
2604,26,NICKEL ORES AND CONCENTRATES
2605,26,COBALT ORES AND CONCENTRATES
2606,26,BAUXITE
2607,26,LEAD ORES AND CONCENTRATES
2608,26,ZINC ORES AND CONCENTRATES
2609,26,TIN ORES AND CONCENTRATES
2610,26,CHROMIUM ORES AND CONCENTRATES HAVING A CHROMIUM CONTENT EQUIVALENT TO NOT MORE THAN 40 PERCENT CHROMIC OXIDE
2611,26,TUNGSTEN ORES
2612,26,URANIUM ORES AND CONCENTRATES
2613,26,MOLYBDENUM ORES AND CONCENTRATES ROASTED
2614,26,SYNTHETIC RUTILE
2615,26,ZIRCONIUM ORES AND CONCENTRATES
2616,26,SILVER ORES AND CONCENTRATES
2617,26,ANTIMONY ORES AND CONCENTRATES
2618,26,GRANULATED SLAG (SLAG SAND) FROM THE MANUFACTURE OF IRON OR STEEL
2619,26,FERROUS SCALE
2620,26,HARD ZINC SPELTER
2621,26,ASH AND RESIDUES FROM THE INCINERATION OF MUNICIPAL WASTE
2701,27,ANTHRACITE COAL
2702,27,LIGNITE
2703,27,PEAT (INCLUDING PEAT LITTER) WHETHER OR NOT AGGLOMERATED
2704,27,COKE/SEMICOKE OF LIGNITE OR PEAT; RETORT CARBON
2705,27,COAL GAS
2706,27,TAR DISTILLED FROM COAL
2707,27,BENZENE
2708,27,PITCH FROM COAL AND OTHER MINERAL TARS
2709,27,PETROLEUM OILS AND OILS OBTAINED FROM BITUMINOUS MINERALS
2710,27,LEADED GASOLINE
2711,27,NATURAL GAS
2712,27,PETROLEUM JELLY
2713,27,PETROLEUM COKE
2714,27,BITUMINOUS OR OIL SHALE AND TAR SANDS
2715,27,BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT
2801,28,CHLORINE
2802,28,SULFUR
2803,28,CARBON BLACK
2804,28,HYDROGEN
2805,28,SODIUM
2806,28,HYDROGEN CHLORIDE (HYDROCHLORIC ACID)
2807,28,SULFURIC ACID AND OLEUM
2808,28,NITRIC ACID
2809,28,DIPHOSPHORUS PENTAOXIDE
2810,28,OXIDES OF BORON AND BORIC ACID
2811,28,HYDROGEN FLUORIDE (HYDROFLUORIC ACID)
2812,28,CARBONYL DICHLORIDE (PHOSGENE)
2813,28,CARBON DISULFIDE
2814,28,ANHYDROUS AMMONIA
2815,28,SOLID SODIUM HYDROXIDE (CAUSTIC SODA)
2816,28,MAGNESIUM HYDROXIDE AND MAGNESIUM PEROXIDE
2817,28,ZINC OXIDE AND ZINC PEROXIDE
2818,28,CRUDE ARTIFICIAL CORUNDUM
2819,28,CHROMIUM TRIOXIDE
2820,28,MANGANESE DIOXIDE
2821,28,BLACK SYNTHETIC PIGMENTS OF IRON OXIDES AND HYDROXIDES
2822,28,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES
2823,28,TITANIUM OXIDES
2824,28,LEAD MONOXIDE (LITHARGE
2825,28,HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS
2826,28,FLUORIDES OF ALUMINUM
2827,28,AMMONIUM CHLORIDE
2828,28,COMMERCIAL CALCIUM HYPOCHLORITE AND OTHER CALCIUM HYPOCHLORITES
2829,28,SODIUM CHLORATE
2830,28,SODIUM SULFIDES
2831,28,SODIUM FORMALDEHYDE SULFOXYLATE
2832,28,SODIUM SULFITES
2833,28,SALT CAKE OF DISODIUM SULFATE
2834,28,SODIUM NITRITES
2835,28,PHOSPHINATES (HYPOPHOSPHITES) AND PHOSPHONATES (PHOSPHITES)
2836,28,DISODIUM CARBONATE
2837,28,CYANIDES AND CYANIDE OXIDES OF SODIUM
2839,28,SODIUM METASILICATES
2840,28,ANHYDROUS DISODIUM TETRABORATE (REFINED BORAX)
2841,28,SODIUM DICHROMATE
2842,28,DOUBLE OR COMPLEX SILICATES
2843,28,COLLOIDAL PRECIOUS METALS
2844,28,URANIUM METAL
2845,28,HEAVY WATER (DEUTERIUM OXIDE)
2846,28,CERIUM OXIDES
2847,28,HYDROGEN PEROXIDE
2849,28,CARBIDES
2850,28,HYDRIDES
2852,28,MURCURIC OXIDE
2853,28,CYANOGEN CHLORIDE (CHLOROCYAN)
2901,29,SATURATED ACYCLIC HYDROCARBONS; n-PENTANE AND ISOPENTANE
2902,29,CYCLOHEXANE
2903,29,CHLOROMETHANE (METHYL CHLORIDE)
2904,29,2-ANTHRACENESULFONIC ACID
2905,29,METHANOL (METHYL ALCOHOL) IMPORTED ONLY FOR USE IN PRODUCING SYNTHETIC NATURAL GAS (SNG) OR FOR DIRECT USE AS A FUEL
2906,29,MENTHOL
2907,29,PHENOL (HYDROXYBENZENE) AND ITS SALTS
2908,29,PENTACHLOROPHENOL (ISO)
2909,29,DIETHYL ETHER
2910,29,OXIRANE (ETHYLENE OXIDE)
2911,29,1
2912,29,METHANAL (FORMALDEHYDE)
2913,29,4--FLUORO-3-PHENOXYBENZALDEHYDE
2914,29,ACETONE DERIVED IN WHOLE OR IN PART FROM CUMENE
2915,29,FORMIC ACID
2916,29,ACRYLIC ACID AND ITS SALTS
2917,29,OXALIC ACID
2918,29,LACTIC ACID
2919,29,TRIS (2
2920,29,PARATHION (ISO) AND PARATHION-METHYL (ISO) (METHYL-PARATHION)
2921,29,METHYLAMINE
2922,29,MONOETHANOLAMINE AND ITS SALTS
2923,29,CHOLINE AND ITS SALTS
2924,29,MEPROBAMATE (INN)
2925,29,SACCHARIN AND ITS SALTS
2926,29,ACRYLONITRILE
2927,29,4-AMINOAZOBENENE DISULFONIC ACID
2928,29,METHYL ETHYL KETOXIME
2929,29,TOLUENEDIISOCYANATES (UNMIXED)
2930,29,2-(N
2931,29,TETRAMETHYL LEAD AND TETRAETHYL LEAD
2932,29,TETRAHYDROFURAN
2933,29,PHENAZONE (ANTIPYRINE) AND ITS DERIVATIVES
