Facility,Group,Commodity,ImportTons,ExportTons,TotalTons,Direction
Willow Glen,Liquid Bulk,Petroleum,40700.0,,40700.0,Import
Copper Dockside Buoys,Dry Bulk,Agricultural,37340.0,,37340.0,Import
AGG,Break Bulk,Forestry,36663.0,,36663.0,Import
AGG,Dry Bulk,Construction Materials,36361.0,,36361.0,Import
IMTT,Dry Bulk,Fertilizer,36103.0,,36103.0,Import
Shell Norco,Liquid Bulk,Petroleum,,35099.0,35099.0,Export
Blackwater Westwego,Break Bulk,General Cargo,34557.0,,34557.0,Import
Cooper Dockside Buoys,Dry Bulk,Fertilizer,33220.0,,33220.0,Import
Laplace Buoys,Break Bulk,Forestry,32937.0,,32937.0,Import
ARTCO 110-111 Buoys,Break Bulk,Forestry,32100.0,,32100.0,Import
LBC Sunshine,Liquid Bulk,Chemicals,31664.0,,31664.0,Import
Harmony St,Dry Bulk,Agricultural,30109.0,,30109.0,Import
ARTCO 110-111 Buoys,Dry Bulk,Non-Ferrous Raw Materials,30000.0,,30000.0,Import
Cooper Dockside Buoys,Break Bulk,Metals,29211.0,,29211.0,Import
AST Arabi Dolphins,Dry Bulk,Minerals & Ores,28792.0,,28792.0,Import
Copper Dockside Buoys,Dry Bulk,Fertilizer,28500.0,,28500.0,Import
AST Chalmette Slip,Break Bulk,General Cargo,25738.0,,25738.0,Import
Laplace Buoys,Break Bulk,Metals,25484.0,,25484.0,Import
Harmony St,Dry Bulk,Non-Ferrous Raw Materials,24905.0,,24905.0,Import
AST Chalmette Slip,Dry Bulk,Carbon Products,24462.0,,24462.0,Import
Vulcan St Rose,Dry Bulk,Construction Materials,24200.0,,24200.0,Import
Louisiana Ave,Break Bulk,Forestry,23422.0,,23422.0,Import
Genesis Baton Rouge,Break Bulk,General Cargo,22467.0,,22467.0,Import
Copper Darrow Buoys,Dry Bulk,Minerals & Ores,22029.0,,22029.0,Import
ARTCO 110-111 Buoys,Dry Bulk,Carbon Products,22000.0,,22000.0,Import
KMI St Gabriel,Liquid Bulk,Chemicals,21394.0,,21394.0,Import
Reserve Buoys,Dry Bulk,Non-Ferrous Raw Materials,21160.0,,21160.0,Import
Reserve Buoys,Break Bulk,Metals,21000.0,,21000.0,Import
7th Street,Break Bulk,General Cargo,20441.0,,20441.0,Import
Domino Sugar,Dry Bulk,Agricultural,19791.0,,19791.0,Import
Copper Darrow Buoys,Liquid Bulk,Agricultural,19653.0,,19653.0,Import
7th Street,Break Bulk,Metals,19648.0,,19648.0,Import
110 Buoys,Dry Bulk,Agricultural,18611.0,,18611.0,Import
Copper Dockside Buoys,Break Bulk,General Cargo,17907.0,,17907.0,Import
Cooper Dockside Buoys,Break Bulk,General Cargo,16425.0,,16425.0,Import
Harmony St,Dry Bulk,Construction Materials,16111.0,,16111.0,Import
Vulcan St Rose,Dry Bulk,Non-Ferrous Raw Materials,15572.0,,15572.0,Import
AST Chalmette Slip,Dry Bulk,Fertilizer,15300.0,,15300.0,Import
AST Arabi Dolphins,Break Bulk,Metals,14988.0,,14988.0,Import
Apex Mt Airy,Liquid Bulk,Petroleum,12482.0,,12482.0,Import
1st Street,Dry Bulk,Non-Ferrous Raw Materials,11905.0,,11905.0,Import
Chevron Oak Point,Break Bulk,General Cargo,10543.0,,10543.0,Import
7th Street,Dry Bulk,Agricultural,10424.0,,10424.0,Import
Genesis Baton Rouge,Liquid Bulk,Agricultural,10200.0,,10200.0,Import
Willow Glen,Liquid Bulk,Chemicals,10145.0,,10145.0,Import
RAIN Chalmette,Dry Bulk,Carbon Products,,10000.0,10000.0,Export
Napoleon Ave,Break Bulk,Agricultural,9721.0,,9721.0,Import
KMI Seven Oaks,Liquid Bulk,Agricultural,9580.0,,9580.0,Import
Blackwater Harvey,Dry Bulk,Carbon Products,9300.0,,9300.0,Import
Willow Glen,Break Bulk,General Cargo,9131.0,,9131.0,Import
Harmony St,Break Bulk,Steel,9032.0,,9032.0,Import
AGG,Liquid Bulk,Petroleum,8571.0,,8571.0,Import
112 Buoys,Break Bulk,General Cargo,8474.0,,8474.0,Import
1st Street,Break Bulk,Agricultural,8438.0,,8438.0,Import
Louisiana Ave,Break Bulk,Metals,8438.0,,8438.0,Import
Domino Sugar,Liquid Bulk,Agricultural,8404.0,,8404.0,Import
IMC Faustina,Liquid Bulk,Chemicals,8200.0,,8200.0,Import
Copper Darrow Buoys,Dry Bulk,Carbon Products,,8132.0,8132.0,Export
1st Street,Break Bulk,General Cargo,7761.0,,7761.0,Import
Louisiana Ave,Break Bulk,Steel,7710.0,,7710.0,Import
Americas Styrenics,Break Bulk,General Cargo,7097.0,,7097.0,Import
1st Street,Dry Bulk,Construction Materials,6839.0,,6839.0,Import
Louisiana Ave,Break Bulk,General Cargo,6746.0,,6746.0,Import
AST Chalmette Buoys,Break Bulk,Steel,6096.0,,6096.0,Import
Copper Dockside Buoys,Dry Bulk,Non-Ferrous Raw Materials,5113.0,,5113.0,Import
KMI Seven Oaks,Break Bulk,General Cargo,4800.0,,4800.0,Import
Louisiana Ave,Dry Bulk,Construction Materials,4580.0,,4580.0,Import
Nashville Ave,Dry Bulk,Ferrous Raw Materials,4339.0,,4339.0,Import
Napoleon Ave,Dry Bulk,Agricultural,4212.0,,4212.0,Import
Cosmar Carville,Liquid Bulk,Agricultural,4094.0,,4094.0,Import
AST Globalplex,Dry Bulk,Carbon Products,4089.0,,4089.0,Import
IMTT,Dry Bulk,Minerals & Ores,4051.0,,4051.0,Import
Blackwater Harvey,Liquid Bulk,Petroleum,3969.0,,3969.0,Import
Nashville Ave,Dry Bulk,Agricultural,3662.0,,3662.0,Import
Chevron Oak Point,Liquid Bulk,Chemicals,3399.0,,3399.0,Import
AGG,Liquid Bulk,Fertilizer,3356.0,,3356.0,Import
Nashville Ave,Break Bulk,Forestry,3134.0,,3134.0,Import
Exxon Baton Rouge,Liquid Bulk,Agricultural,2952.0,,2952.0,Import
Cornerstone Chemical,Break Bulk,General Cargo,2602.0,,2602.0,Import
Total Carville,Liquid Bulk,Petroleum,2298.0,,2298.0,Import
Stolthaven,Break Bulk,Forestry,2001.0,,2001.0,Import
Blackwater Westwego,Liquid Bulk,Agricultural,1999.0,,1999.0,Import
AST Arabi Dolphins,Dry Bulk,Construction Materials,1515.0,,1515.0,Import
AST Chalmette Buoys,Break Bulk,Agricultural,1500.0,,1500.0,Import
AST Chalmette Slip,Liquid Bulk,Agricultural,1055.0,,1055.0,Import
Nashville Ave,Dry Bulk,Carbon Products,1045.0,,1045.0,Import
Chevron Oak Point,Liquid Bulk,Petroleum,732.0,,732.0,Import
Copper Dockside Buoys,Liquid Bulk,Agricultural,681.0,,681.0,Import
Nashville Ave,Break Bulk,Metals,527.0,,527.0,Import
Nashville Ave,Dry Bulk,Minerals & Ores,520.0,,520.0,Import
Napoleon Ave,Break Bulk,General Cargo,509.0,,509.0,Import
AST Globalplex,Dry Bulk,Construction Materials,442.0,,442.0,Import
AGG,Dry Bulk,Carbon Products,394.0,,394.0,Import
Napoleon Ave,Break Bulk,Forestry,384.0,,384.0,Import
Laplace Buoys,Dry Bulk,Construction Materials,226.0,,226.0,Import
Napoleon Ave,Liquid Bulk,Petroleum,207.0,,207.0,Import
Exxon Baton Rouge,Break Bulk,General Cargo,140.0,,140.0,Import
Aramco Convent,Break Bulk,General Cargo,138.0,,138.0,Import
Exxon Baton Rouge,Liquid Bulk,Petroleum,110.0,,110.0,Import
Laplace Buoys,Liquid Bulk,Chemicals,100.0,,100.0,Import
Napoleon Ave,Break Bulk,Metals,39.0,,39.0,Import
CFI Donaldsonville,Liquid Bulk,Petroleum,35.0,,35.0,Import
AST Chalmette Slip,Liquid Bulk,Petroleum,34.0,,34.0,Import
