registry_id,fac_name,fac_street,fac_city,fac_state,fac_zip,fac_county,fac_epa_region,latitude,longitude,naics_code,facility_type
110002322157,PARK CITY READY-MIX CONCRETE,248 E HWY 40,PARK CITY,UT,84098,SUMMIT,8.0,41.841761,-111.820135,327320,Ready-Mix Concrete
110067127479,"GENEVA ROCK PRODUCTS, INC. - PARK CITY FACILITY",248 ATKINSON ROAD,PARK CITY,UT,84060,SUMMIT,8.0,40.68563,-111.46139,327320,Ready-Mix Concrete
110030923936,MONROC INC.,4122 ATKINSON ROAD,PARK CITY,UT,84060,SUMMIT,8.0,40.685993,-111.460888,327320,Ready-Mix Concrete
110030924686,PARK CITY CONCRETE FACILITY,248 EAST HIGHWAY 40,PARK CITY,UT,84098,SUMMIT,8.0,40.660312,-111.510113,327320,Ready-Mix Concrete
110067123525,"GENEVA ROCK PRODUCTS, INC. - PAYSON FACILITY",1325 NORTH MAIN,PAYSON,UT,84651,UTAH,8.0,40.06256,-111.73223,327320,Ready-Mix Concrete
110071063347,GENEVA ROCK PRODUCTS; PELICAN POINT,2349 NORTH SR 68,PELICAN POINT,UT,84045,SALT LAKE,8.0,,,327320,Ready-Mix Concrete
110041068590,PLEASANT GROVE BATCH PLANT,666 WEST 220 SOUTH,PLEASANT GROVE,UT,84602,UTAH,8.0,40.360821,-111.750194,327320,Ready-Mix Concrete
110070219983,PRICE READY MIX PLANT,4270 SOUTH 100 WEST,PRICE,UT,84501,CARBON,8.0,39.531298,-110.734249,327320,Ready-Mix Concrete
110070247449,BLUFFDALE BATCH PLANT,15299 S 700 W,RIVERTON,UT,84065,SALT LAKE COUNTY,8.0,40.47517,-111.90898,327320,Ready-Mix Concrete
110071272098,ROOSEVELT READY MIX,"40.281779, -110.053882",ROOSEVELT,UT,84066,,8.0,40.281779,-110.05388,327320,Ready-Mix Concrete
110070391811,R. CHAPMAN CONSTRUCTION HARMSTON PIT,2266 WEST 2250 NORTH,ROOSEVELT,UT,84066,DUCHESNE,8.0,40.333713,-110.032667,327320,Ready-Mix Concrete
110040434394,FORT PEARCE FACILITY,1834 WEST 4150 SOUTH,SAINT GEORGE,UT,84770,WASHINGTON,8.0,37.036944,-113.545,327320,Ready-Mix Concrete
