facility_id,facility_name,address1,city,state,state_name,zip,county,latitude,longitude,year,parent_company,primary_naics
1007981,CEMEX Construction Materials Atlantic LLC,2001 PORTLAND PARK ROAD,WAMPUM,PA,PENNSYLVANIA,16157,LAWRENCE COUNTY,40.879365,-80.325209,2013,CEMEX INC (100%),327310
1005639,LAFARGE NA WHITEHALL PLANT,5160 MAIN ST.,WHITEHALL,PA,PENNSYLVANIA,18052,LEHIGH COUNTY,40.687646,-75.506305,2023,HOLCIM PARTICIPATIONS (US) INC (100%),327310
1000198,LEHIGH WHITE CEMENT CO LLC,200 HOKES MILL ROAD,YORK,PA,PENNSYLVANIA,17404,YORK COUNTY,39.94778,-76.76918,2023,LEHIGH WHITE CEMENT CO LLC (100%),327310
1006164,"Argos Puerto Rico, Corp.","Road PR-2, Km 26.7",Dorado,PR,PUERTO RICO,00646,DORADO MUNICIPIO,18.3944,-66.2976,2023,ARGOS PUERTO RICO CORP (100%),327310
1007033,"CEMEX de Puerto Rico, Inc.","State Road 123, kilometer 8.0",Ponce,PR,PUERTO RICO,00733,PONCE MUNICIPIO,18.01223,-66.614668,2017,CEMEX INC (100%),327310
1002750,Argos Cement LLC - Harleyville Plant,463 JUDGE STREET,HARLEYVILLE,SC,SOUTH CAROLINA,29448,DORCHESTER COUNTY,33.226205,-80.452832,2023,ARGOS USA LLC (100%),327310
1003770,GIANT CEMENT COMPANY,654 JUDGE STREET,HARLEYVILLE,SC,SOUTH CAROLINA,29448,DORCHESTER COUNTY,33.242778,-80.442222,2023,GIANT CEMENT HOLDING INC (100%),327310
1006815,HOLCIM (US) INC.,2173 Gardner Boulevard,HOLLY HILL,SC,SOUTH CAROLINA,29059,ORANGEBURG COUNTY,33.27738,-80.430135,2023,HOLCIM PARTICIPATIONS (US) INC (100%),327310
1004539,GCC DACOTAH,501 NORTH SAINT ONGE STREET,RAPID CITY,SD,SOUTH DAKOTA,57702,PENNINGTON COUNTY,44.0896,-103.271663,2023,GCC OF AMERICA INC (100%),327310
1000247,SIGNAL MOUNTAIN CEMENT CO,1201 SUCK CREEK ROAD,CHATTANOOGA,TN,TENNESSEE,37405,HAMILTON COUNTY,35.101197,-85.345342,2023,RC LONESTAR INC (100%),327310
1004721,CEMEX CONSTRUCTION MATERIALS ATLANTIC LLC,6212 CEMENT PLANT ROAD,KNOXVILLE,TN,TENNESSEE,37924,KNOX COUNTY,36.022505,-83.834408,2023,CEMEX INC (100%),327310
1002102,TEXAS LEHIGH CEMENT COMPANY LP,1000 JACK C HAYS TRL,BUDA,TX,TEXAS,78610,HAYS COUNTY,30.071044,-97.856833,2023,EAGLE MATERIALS INC (50%); HANSON LEHIGH INC (50%),327310
1006110,"Lone Star Industries, Inc. /dba/ BUZZI UNICEM USA",202 County Road 306,MARYNEAL,TX,TEXAS,79535,NOLAN COUNTY,32.25,-100.458333,2023,RC LONESTAR INC (100%),327310
1002055,HOLCIM (US) Inc,1800 DOVE LN.,MIDLOTHIAN,TX,TEXAS,76065,ELLIS COUNTY,32.512975,-96.971099,2023,HOLCIM PARTICIPATIONS (US) INC (100%),327310
1002421,ASH GROVE CEMENT COMPANY,900 GIFCO ROAD,MIDLOTHIAN,TX,TEXAS,76065,ELLIS COUNTY,32.51993,-97.0068,2023,CRH AMERICAS INC (100%),327310
1007792,"MARTIN MARIETTA NORTH TEXAS CEMENT, LLC",245 WARD ROAD,MIDLOTHIAN,TX,TEXAS,76065,ELLIS COUNTY,32.462679,-97.025572,2023,MARTIN MARIETTA MATERIALS INC (100%),327310
1007663,"CEMEX Construction Materials South, LLC",2580 WALD ROAD,NEW BRAUNFELS,TX,TEXAS,78132,COMAL COUNTY,29.672028,-98.175083,2023,CEMEX INC (100%),327310
1007621,"Martin Marietta South Texas Cement, LLC",7781 FM 1102,New Braunfels,TX,TEXAS,78132,COMAL COUNTY,29.803771,-98.039969,2023,MARTIN MARIETTA MATERIALS INC (100%),327310
