direction,port_consolidated,group,commodity,cargo,cargo_detail,country,ves_mt,ves_value_usd,records
Import,"MORGAN CITY, LA",Liquid Bulk,Petroleum Products,Crude Oil,Crude Oil,KUWAIT,44860.3,21600632,1
Import,Lower Miss River,Liquid Bulk,Petroleum Products,Dirty Products,Bitumen,COLOMBIA,44118.8,18783232,2
Import,"LAKE CHARLES, LA",Dry Bulk,Construction Materials,Aggregates,Aggregates,TURKEY,42938.6,567924,1
Import,Lower Miss River,x,x,x,x,COLOMBIA,42223.9,283853788,52
Import,Lower Miss River,Dry Bulk,Steel,Finished Steel,Long Products,EGYPT,42051.3,23586869,2
Import,Lower Miss River,x,x,x,x,CHINA,40347.8,150581567,491
Import,Lower Miss River,Dry Bulk,Metals,Lead,Lead,AUSTRALIA,39057.5,83223005,2
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,Scrap,Scrap,POLAND,38462.5,15269597,1
Import,Lower Miss River,Dry Bulk,Ferrous Raw Materials,FerroAlloys,FerroAlloys,AUSTRALIA,37851.4,35370443,2
Import,Lower Miss River,Dry Bulk,Carbon Products,Coal,Anthracite,CHINA,37465.6,3714523,2
Import,Lower Miss River,Dry Bulk,Minerals & Ores,Salt,Salt,TUNISIA,37210.6,1053727,1
Import,Lower Miss River,Dry Bulk,Fertilizer,Fertilizer,Fertilizer,"KOREA, SOUTH",36850.3,7828667,3
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Bauxite,Bauxite,CHINA,36437.1,15845002,2
Import,Lower Miss River,Dry Bulk,Non Ferrous Raw Materials,Alumina,Alumina,CHINA,35938.4,25044748,4
Import,"LAKE CHARLES, LA",Liquid Bulk,Petroleum Products,Clean Products,Gasoline,SPAIN,35904.4,34116993,1
Import,Lower Miss River,Dry Bulk,Forestry,Pulp & Paper,Pulp,BRAZIL,35740.0,15836680,2
Import,Lower Miss River,Liquid Bulk,Agricultural,Molasses,Molasses,POLAND,35100.0,4177616,2
Import,"LAKE CHARLES, LA",Dry Bulk,Forestry,Pulp & Paper,Pulp,BRAZIL,33800.0,14093445,1
Import,Lower Miss River,Dry Bulk,Metals,Copper,Copper,AUSTRALIA,33719.6,339282642,1
