direction,port_code,port_name,commodity,hs6_description,cty_code,country_name,total_value_ytd,ves_value_ytd,ves_mt_ytd
Export,2001,"New Orleans, LA",381400,"ORGANIC COMPOSITE SOLVENTS AND THINNERS, NOT ELSEWHERE SPECIFIED OR INCLUDED; PREPARED PAINT OR VARNISH REMOVERS",2010,MEXICO,10114,10114,0.748
Export,2001,"New Orleans, LA",381400,"ORGANIC COMPOSITE SOLVENTS AND THINNERS, NOT ELSEWHERE SPECIFIED OR INCLUDED; PREPARED PAINT OR VARNISH REMOVERS",2250,PANAMA,3605,3605,0.573
Export,2001,"New Orleans, LA",381900,"HYDRAULIC BRAKE FLUIDS & OTH PREPARED LIQUIDS FOR HYDRAULIC TRANSMISSION, NT CONTAINING OR CONTAINING LE 70% BY WGT OF PETROLEUM OILS/OIL BITUMINOUS",2010,MEXICO,7000,7000,1.2
Export,2001,"New Orleans, LA",382000,ANTIFREEZING PREPARATION AND PREPARED DEICING FLUIDS,2010,MEXICO,9300,9300,1.279
Export,2001,"New Orleans, LA",382460,SORBITOL OTHER THAN THAT OF SUBHEADING 2905.44,2250,PANAMA,3017,3017,4.012
Export,2001,"New Orleans, LA",382481,"CHEMICAL PRODUCTS AND PREPARATIONS AND RESIDUAL PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES, CONTAINING OXIRANE (ETHYLENE OXIDE)",2250,PANAMA,5632,5632,0.1
Export,2001,"New Orleans, LA",382488,"OTHER MIXTURES CONTAINING TETRA-, PENTA-, HEXA-, HEPTA-, OR OCTABROMODIPHENYL ETHERS",2010,MEXICO,8511,8511,0.177
Export,2001,"New Orleans, LA",382499,"CULTURED CRYSTALS, WEIGHING NOT LESS THAN 2.5 G EACH, IN THE FORM OF INGOTS",2010,MEXICO,31400,31400,1.483
Export,2001,"New Orleans, LA",382499,"CULTURED CRYSTALS, WEIGHING NOT LESS THAN 2.5 G EACH, IN THE FORM OF INGOTS",2250,PANAMA,2981,2981,0.197
Export,2001,"New Orleans, LA",382790,"MIXTURES CONTAINING HYDROCARBONS PERHALOGENATED DERIVATIVES OF ACYCLIC HYDROCARBONS CONTAINING TWO OR MORE DIFFERENT HALOGENS, NESOI",2010,MEXICO,5673,5673,0.119
Export,2001,"New Orleans, LA",390890,BIS(4-AMINO-3-METHYLCYCLOHEXYL)METHANE-ISOPHTHALIC ACID-LAUROLACTAM COPOLYMER,2010,MEXICO,28487,28487,0.401
Export,2001,"New Orleans, LA",391000,SILICONES IN PRIMARY FORMS,6810,MARSHALL ISLANDS,9327,9327,1.406
Export,2001,"New Orleans, LA",391721,"TUBES,PIPES AND HOSES,RIGID,OF POLYMERS OF ETHYLENE",6810,MARSHALL ISLANDS,36340,36340,0.106
Export,2001,"New Orleans, LA",391732,"TUBES, PIPES & HOSES, NOT REINFORCED OR OTHERWISE COMBINED WITH OTHER MATERIALS, W/O FITTINGS, NESOI",2010,MEXICO,8064,8064,0.507
Export,2001,"New Orleans, LA",391739,"TUBES,PIPES, HOSES, AND FITTINGS THEREOF  OF PLASTICS, NESOI",6810,MARSHALL ISLANDS,17403,17403,0.441
Export,2001,"New Orleans, LA",392329,SACKS & BAGS(INCLUDING CONES) OF OTHER PLASTICS,2010,MEXICO,13760,13760,6.53
Export,2001,"New Orleans, LA",392350,"STOPPERS,LIDS,CAPS,& OTHER CLOSURES,OF PLASTIC",7644,SAO TOME AND PRINCIPE,69526,69526,3.268
Export,2001,"New Orleans, LA",392390,"ARTICLES FOR THE CONVEYANCE OR PACKING OF GOODS,ETC,OF PLASTIC,NESOI",4120,UNITED KINGDOM,3907,3907,0.012
